"Export time: 8/7/2022, 6:21:05 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: bellydance wings","","1","Pilot-trade Women's Professional Belly Dance Costume Angle Isis Wings No Stick","Pilot-trade clothing trade co.Ltd","$15.98","28","0","$447","01/22/2015","$8.86","704","4.6","$7.12","93281","Clothing Shoes & Jewelry","B00SMRHHD6","https://www.amazon.com/dp/B00SMRHHD6"
"Average Sales: 37","","2","GEZICHTA LED Isis Wings Glow Light Up Belly Dance Costumes with Sticks Performance Clothing Carnival Halloween Large LED Belly Dance Wings Wings Glow Light Up Belly(White) free size","GEZICHTA","$39.99","180","6","$7198","10/05/2021","$28.05","15","5","$11.94","127876","Clothing Shoes & Jewelry","B099RNZZQZ","https://www.amazon.com/dp/B099RNZZQZ"
"Average Sales Rank: 749,197","","3","iMucci LED Lights Belly Dance Isis Wings - Bellydance Glow Angel dance Wings with Telescopic Sticks Flexible Rods for Adults and Child White","iMucci","$59.99","342","11","$20517","06/20/2019","$43.98","601","4.4","$16.01","78306","Clothing Shoes & Jewelry","B07TFTDQXN","https://www.amazon.com/dp/B07TFTDQXN"
"Average Price: $36.66","","4","MUNAFIE Belly Dance Isis Wings with Sticks for Adult Belly Dance Costume Angel Wings for Halloween Carnival Performance","MUNAFIE","$21.98","17","0","$374","02/25/2019","$14.02","829","4.6","$7.96","151812","Clothing Shoes & Jewelry","B06XK9XS1K","https://www.amazon.com/dp/B06XK9XS1K"
"Average Rating Number: 139","","5","Wuchieal Women's Belly Dance Costume Isis Wings Professional Dance Wings with Sticks","Wuchieal","$22.99","85","2","$1954","04/07/2019","$14.68","194","4.6","$8.31","312798","Clothing Shoes & Jewelry","B07QFTS2KK","https://www.amazon.com/dp/B07QFTS2KK"
"","","6","Belly Dance Led Wings Performance Costume with Flexible Sticks for Women","Aumulen","$39.90","...","...","...","02/12/2022","...","0","","","225253","...","B09SF1BCNH","https://www.amazon.com/dp/B09SF1BCNH"
"","","7","MUNAFIE Belly Dance Wings Halloween Christmas Party Colorful Butterfly Wings Performance Costumes","MUNAFIE","$23.98","116","3","$2782","11/22/2017","$15.5","48","4.1","$8.48","190325","Clothing Shoes & Jewelry","B07849V5LF","https://www.amazon.com/dp/B07849V5LF"
"","","8","LED Isis Wings Glow Light Up Belly Dance Costumes with Sticks Performance Clothing Carnival Halloween","SHINYOU","$58.90","48","1","$2827","12/27/2018","$41.91","796","4.2","$16.99","60347","Clothing Shoes & Jewelry","B075F67HSQ","https://www.amazon.com/dp/B075F67HSQ"
"","","9","Pilot-Trade Women's Egyptian Egypt Belly Dance Costume Bifurcate Isis Wings","Pilot-trade clothing trade co.Ltd","$15.98","8","0","$128","01/22/2015","$9.81","526","4.4","$6.17","103718","Sports & Outdoors","B00SMMSL86","https://www.amazon.com/dp/B00SMMSL86"
"","","10","Women Belly Dance Wings with Sticks Golden Silver Wings for Adult","Nimiman","$21.90","...","...","...","03/23/2022","...","0","","","517710","...","B09WCTYRNQ","https://www.amazon.com/dp/B09WCTYRNQ"
