"Export time: 8/5/2022, 11:51:51 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: coin scarf","","1","Bellylady Gold Coins Belly Dance Hip Scarf Wholesale Dance Belt & Gypsy Bracelet","BellyLady","$7.50","4","0","$30","11/05/2013","$2.01","903","4.3","$5.50","499457","Clothing Shoes & Jewelry","B00GSFZSLW","https://www.amazon.com/dp/B00GSFZSLW"
"Average Sales: 122","","2","Zhanmai 12 Pieces Belly Dance Skirt Hip Skirt 12 Colors Waist Chain Dance Hip Scarf Belt with Dangling Coins","Zhanmai","$40.99","270","9","$11067","11/30/2021","$28.11","306","4.5","$12.88","30231","Sports & Outdoors","B094NJ4DH2","https://www.amazon.com/dp/B094NJ4DH2"
"Average Sales Rank: 1,607,608","","3","REINDEAR Vogue Style Chiffon Dangling Gold Coins Belly Dance Hip Scarf","REINDEAR","$7.15","105","3","$751","08/26/2015","$1.71","1839","4.3","$5.44","41500","Clothing Shoes & Jewelry","B014JXE1WQ","https://www.amazon.com/dp/B014JXE1WQ"
"Average Price: $19.00","","4","Wuchieal Women's Sweet Bellydance Hip Scarf with Gold Coins Skirts Wrap Noisy","Wuchieal","$14.98","830","27","$12433","07/24/2016","$8.33","2059","4.6","$6.65","8873","Sports & Outdoors","B01J1HX284","https://www.amazon.com/dp/B01J1HX284"
"Average Rating Number: 431","","5","Women Chiffon Dangling Gold Coins Belly Dance Hip Skirt Scarf Wrap Belt","AEY","$8.90","45","1","$401","10/03/2019","$3.17","1457","4.5","$5.73","93083","Clothing Shoes & Jewelry","B01HRKLV30","https://www.amazon.com/dp/B01HRKLV30"
"","","6","ZLTdream Women's Belly Dance Tribal Hip Scarf with Fringe Coins Flannel","ZLTdream","$21.98","20","0","$440","08/20/2015","$13.84","675","4.6","$8.14","103202","Clothing Shoes & Jewelry","B0147VP5WU","https://www.amazon.com/dp/B0147VP5WU"
"","","7","88 Colorful Gold Coins Plus Size Chiffon Belly Dance Hip Scarf Dance Skirt Belt Waist Chain","BESTCC","$16.99","115","3","$1954","10/28/2019","$10.67","292","4.5","$6.32","46045","Sports & Outdoors","B07ZQ6PYWK","https://www.amazon.com/dp/B07ZQ6PYWK"
"","","8","Lauthen.S 128 Coins Belly Dance Hip Scarf Tribal Belt Halloween Genie Costume Accessory","Lauthen.S","$10.99","190","6","$2088","06/21/2020","$5.85","236","4.6","$5.14","130376","Clothing Shoes & Jewelry","B08BLH9VYP","https://www.amazon.com/dp/B08BLH9VYP"
"","","9","Cielary Coins Belly Dance Hip Scarf Belt Halloween Costume Accessory","Cielary","$12.99","15","0","$195","12/22/2020","$8.12","21","4.5","$4.87","235390","Sports & Outdoors","B08R7QTCSL","https://www.amazon.com/dp/B08R7QTCSL"
"","","10","Gypsy Head Scarf with Coins","Largemouth","$16.99","165","5","$2803","04/24/2016","$10.83","662","3.9","$6.16","167321","Clothing Shoes & Jewelry","B07J5TJ2M5","https://www.amazon.com/dp/B07J5TJ2M5"
