"Export time: 8/6/2022, 9:02:34 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: eco friendly pencils","","1","BAZIC Recycled Pencil Newspaper Pencils100% Wood Free Pre-sharpened 2 HB Latex Free Eraser Non Toxic Graphite Paper Pencils (10/Pack) 2-Packs","BAZIC Products","$8.49","70","2","$594","09/09/2020","...","26","4.7","","42380","Office Products","B08HSPYT1T","https://www.amazon.com/dp/B08HSPYT1T"
"Average Sales: 2,385","","2","BIC Ecolutions Xtra-Life Mechanical Pencil Medium Point (0.7mm) 24-Count assorted (MPEP241-Blk)","BIC","$12.24","128","4","$1567","01/14/2010","$6.86","564","4.7","$5.38","34962","Office Products","B00347A970","https://www.amazon.com/dp/B00347A970"
"Average Sales Rank: 100,444","","3","BIC ReVolution 2 Mechanical Pencil 65% Recycled Plastic Medium Point (0.7 mm) 100% Recycled Packaging 48 Count Pack","BIC","$12.35","1603","53","$19797","01/10/2022","$6.73","112","4.8","$5.62","25231","Office Products","B09Q7MXYB2","https://www.amazon.com/dp/B09Q7MXYB2"
"Average Price: $16.60","","4","ECOTREE Eco-friendly Wood & Plastic Free Rainbow Recycled Paper 2 HB Pencils For School and Office Supplies Pre-sharpened12-Pack","ECOTREE","$11.89","5758","191","$68463","07/27/2021","$6.57","602","4.7","$5.32","170","Office Products","B095P6RQR6","https://www.amazon.com/dp/B095P6RQR6"
"Average Rating Number: 1,840","","5","Recycled paper Pencils colored lead (Pack of 12) - 100% Eco Friendly Earth Friendly Pre-sharpened Pencil Non toxic Wood free Coloring Pencils","Three Leaf Pens & Paper","$6.99","45","1","$315","07/22/2019","$2.4","68","4.5","$4.59","57018","Office Products","B07VM7GHQG","https://www.amazon.com/dp/B07VM7GHQG"
"","","6","Ainiv 20 PCS Inkless Magic Pencil Everlasting Pencil Eternal with Macaron Eraser Infinity Reusable Pencil for Writing Drawing with Extra 20 ErasersCute Morandi Pencils Home Office School Supplies","Ainiv","$12.99","42","1","$546","03/18/2022","$7.97","2","3.5","$5.02","60327","Office Products","B09VZ8H453","https://www.amazon.com/dp/B09VZ8H453"
"","","7","Eco Highlighter Pencils - Set of 6 Jumbo Size Neon Colors - Will Not Bleed or Dry Out","Stubby Pencil Studio","$18.99","51","1","$968","10/17/2015","$13.22","118","4.6","$5.77","64975","Office Products","B017135D00","https://www.amazon.com/dp/B017135D00"
"","","8","Ticonderoga Renew Wood-Cased Pencils 2 HB Soft Natural 10 Count (X96110)","Ticonderoga","$3.09","2263","75","$6993","09/28/2016","$-0.29","296","4.8","$3.38","6954","Office Products","B00J0FUMI6","https://www.amazon.com/dp/B00J0FUMI6"
"","","9","Recycled News Papers Plant able Color Pencils Made From Recycled Newspapers Eco Friendly 10 Pack","TREEWISE","$14.99","12","0","$180","01/20/2020","$9.82","6","4.3","$5.17","139202","Office Products","B0842KMQNJ","https://www.amazon.com/dp/B0842KMQNJ"
"","","10","Sprout Pencils | Original Edition | Graphite Plantable Pencils with Flower Herb & Vegetable Seeds | Eco-Friendly Organic Wood | Prime Sustainable Gift Ideal for Drawing Sketching & Shading | 8 Pack","Sprout","$15.99","123","4","$1967","01/17/2018","$10.67","476","4.6","$5.32","50130","Office Products","B07932F8M8","https://www.amazon.com/dp/B07932F8M8"
