"Export time: 8/7/2022, 6:40:07 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: led lights","","1","Tenmiro Led Lights for Bedroom 100ft (2 Rolls of 50ft) Music Sync Color Changing LED Strip Lights with Remote and App Control 5050 RGB LED Strip LED Lights for Room Home Party Decoration","Tenmiro","$24.99","54201","1806","$1354483","04/20/2021","...","40188","4.5","","8","Tools & Home Improvement","B0932M1666","https://www.amazon.com/dp/B0932M1666"
"Average Sales: 2,676","","2","Ksipze 100ft Led Strip Lights (2 Rolls of 50ft) RGB Music Sync Color Changing Led Lights with Smart App Control Remote Led Lights for Bedroom Lighting Flexible Home Decoration (100FT)","KSIPZE","$23.99","23459","781","$562781","04/29/2022","$16.85","7729","4.5","$7.14","55","Tools & Home Improvement","B09V366BDY","https://www.amazon.com/dp/B09V366BDY"
"Average Sales Rank: 46,868","","3","100ft Led Lights for Bedroom APP Control Music Sync Color ChangingUltra Long RGB 5050 Led Strip Lights with 44Keys IR Remote for Christmas Room Home Decoration","Lxyoug","$24.99","18947","631","$473486","08/01/2021","$16.1","7768","4.5","$8.89","139","Tools & Home Improvement","B09BMWGRFM","https://www.amazon.com/dp/B09BMWGRFM"
"Average Price: $22.32","","4","LED Strip with 24 Keys Remote Control 2m Battery Powered Strip Lights for Party and DIY Decoration","lawnko","$7.49","680","22","$5093","07/01/2021","$2.83","187","4.1","$4.66","10670","Tools & Home Improvement","B093D928FH","https://www.amazon.com/dp/B093D928FH"
"Average Rating Number: 5,756","","5","DAYBETTER Led Strip Lights 100ft (2 Rolls of 50ft) Smart Light Strips with App Control Remote 5050 RGB Led Lights for Bedroom Music Sync Color Changing Lights for Room Party","DAYBETTER","$19.99","49278","1642","$985067","09/23/2020","$11.85","52742","4.6","$8.14","3","Tools & Home Improvement","B08JSQVBDQ","https://www.amazon.com/dp/B08JSQVBDQ"
"","","6","Govee 16.4ft LED Strip Lights Color Changing Light Strips with Remote RGB LED Lights for Room Bedroom Living Room Kitchen Yard Party Ceiling","Govee","$17.99","2621","87","$47152","05/21/2019","$10.15","30996","4.6","$7.84","3817","Tools & Home Improvement","B07PCR7LPS","https://www.amazon.com/dp/B07PCR7LPS"
"","","7","SL1 Smart TV LED Backlight 9.2ft Strip Lights Compatible with Alexa and Google Home WiFi App_Go_Sund Control Music SyncRGB Color Changing Dimmable Light Strip for 30-60in TV Light Decor","GHome Smart","$8.99","2509","83","$22556","10/11/2021","$4.72","546","4.1","$4.27","3718","Tools & Home Improvement","B09J89H83N","https://www.amazon.com/dp/B09J89H83N"
"","","8","phopollo Led Lights 65.6ft Long Led Strip Lights for Bedroom Color Changing Luces Led para Decoracion Habitacion RGB DIY Color Option with Power Supply and Remote","phopollo","$19.99","7942","264","$158761","06/21/2020","$11.85","23366","4.6","$8.14","652","Tools & Home Improvement","B08CD9MKLZ","https://www.amazon.com/dp/B08CD9MKLZ"
"","","9","Keepsmile 100ft Led Strip Lights (2 Rolls of 50ft) Bluetooth Smart App Music Sync RGB 5050 Color Changing Led Light Strip with DIY RemoteLed Lights for Bedroom Room Home Decor Party and Festival","Keepsmile","$23.99","25699","856","$616519","05/25/2022","...","14935","4.5","","85","Tools & Home Improvement","B0B2D52FLK","https://www.amazon.com/dp/B0B2D52FLK"
"","","10","50ft Led Lights for Bedroom FONEWE Led Strip Lights Led Light Strip with App Led Lights for Home Decoration","FONEWE","$15.98","6394","213","$102176","10/06/2021","$9.81","867","4.5","$6.17","1778","Tools & Home Improvement","B09HXLT364","https://www.amazon.com/dp/B09HXLT364"
