"Export time: 8/6/2022, 12:04:18 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: makeup blender sponge","","1","Makeup Sponges Larbois 3-Pack Blender Beauty Foundation Blending Sponge Professional Beauty Makeup Set for Dry & Wet Use (Red+Black+Purple)","Larbois","$4.29","8168","272","$35041","05/08/2020","$0.18","13128","4.6","$4.11","2042","Beauty & Personal Care","B0858WSTBY","https://www.amazon.com/dp/B0858WSTBY"
"Average Sales: 1,142","","2","BEAKEY 5 Pcs Makeup Sponge Set Foundation Blending Beauty Sponge Flawless for Liquid Cream and Powder Multi-colored Makeup Sponges","BEAKEY","$9.99","24546","818","$245215","09/18/2018","$5.65","79507","4.7","$4.34","180","Beauty & Personal Care","B01F36JEXE","https://www.amazon.com/dp/B01F36JEXE"
"Average Sales Rank: 103,806","","3","Real Techniques Mini Miracle Complexion Sponge Makeup Blender Beauty Sponge For Touch Ups Professional Makeup Tool Cruelty Free Latex Free Perfect For Travel or On The Go 4 Count","Real Techniques","$6.79","9911","330","$67296","12/06/2017","$2.71","15043","4.3","$4.08","983","Beauty & Personal Care","B01N1A00VH","https://www.amazon.com/dp/B01N1A00VH"
"Average Price: $9.01","","4","Real Techniques Miracle Complexion Sponge Makeup Blender for Liquid and Cream Foundation Full Coverage Streak-Free Professional Makeup Tool Cruelty Free Vegan Latex Free 4 Count","Real Techniques","$14.26","15111","503","$215483","02/24/2017","$8.58","14434","4.8","$5.68","1543","Beauty & Personal Care","B01JINOV5E","https://www.amazon.com/dp/B01JINOV5E"
"Average Rating Number: 1,750","","5","Makeup Sponges Foonbe Foundation Blending Beauty Sponge Dry & Wet Use for Powder Cream or Liquid Application (3 Pcs Multi-colored )","Foonbe","$4.59","8485","282","$38946","04/08/2021","$0.68","4949","4.7","$3.91","2142","Beauty & Personal Care","B08X6BQNXP","https://www.amazon.com/dp/B08X6BQNXP"
"","","6","BS-MALL Makeup Sponge Set 7 Pcs blender sponge for Liquid Cream and Powder Multi-colored Makeup Sponges Pink","BS-MALL","$6.99","2593","86","$18125","06/01/2021","$2.89","616","4.6","$4.10","5095","Beauty & Personal Care","B08ZYKFNLK","https://www.amazon.com/dp/B08ZYKFNLK"
"","","7","5 Pcs Makeup Sponges Blender Set - 4 Pcs Professional Beauty Sponge Foundation Blending Blender with 1 Sponge Holder and Egg Case Flawless for Cream Powder and Liquid (Pink)","Leeshine","$6.99","4273","142","$29868","05/17/2021","$2.89","2216","4.6","$4.10","3270","Beauty & Personal Care","B091HYLM7B","https://www.amazon.com/dp/B091HYLM7B"
"","","8","AOA Studio Collection Makeup Sponge Set Makeup Blender Latex Free and High-definition Set of 6 Makeup Blender For Powder Cream and Liquid Super Soft Wonder Blender Beauty Cosmetic","AOA STUDIO","$9.95","13967","465","$138972","12/17/2020","$5.61","4544","4.7","$4.34","470","Beauty & Personal Care","B08GSTPT8Y","https://www.amazon.com/dp/B08GSTPT8Y"
"","","9","AJOKE 10 Pcs Perfect Makeup Sponge Set Blender Beauty Sponge Makeup Blender Flawless for LiquidMulti-colored Makeup Sponges","AJOKE","$9.98","3777","125","$37694","02/20/2020","$5.41","3630","4.7","$4.57","5461","Beauty & Personal Care","B083SDH4LQ","https://www.amazon.com/dp/B083SDH4LQ"
"","","10","Real Techniques Miracle Complexion Sponge Beauty Sponge For Makeup Blending & Foundation Application Full Coverage Streak-Free Professional Makeup Tool Cruelty Free Vegan Latex Free 2 Count","Real Techniques","$4.00","1053","35","$4212","03/09/2015","$0.14","21265","4.7","$3.86","129","Beauty & Personal Care","B00QPNVC0I","https://www.amazon.com/dp/B00QPNVC0I"
"","","11","3pcs Beauty Makeup Sponges set for Dry & Wet Use - Foundation Blending Sponge for Concealer Blush Powder Multi-color Blender Sponges (3pcs - Multi-colored A)","KNEEDARKYEAR","$3.99","1723","57","$6875","02/04/2021","$0.13","698","4.5","$3.86","8999","Beauty & Personal Care","B08NVHW7N7","https://www.amazon.com/dp/B08NVHW7N7"
"","","12","NYX PROFESSIONAL MAKEUP Jumbo Eye Pencil Eyeshadow & Eyeliner Pencil - Milk","NYX PROFESSIONAL MAKEUP","$4.50","30009","1000","$135041","07/13/2013","$1.22","43397","4.3","$3.28","19","Beauty & Personal Care","B001TK4LM8","https://www.amazon.com/dp/B001TK4LM8"
"","","13","Real Techniques Miracle Complexion Sponge Beauty Sponge For Makeup Blending & Foundation Application Streak Free Full Coverage Finish 1 Count","Real Techniques","$5.47","119","3","$651","12/05/2013","$1.49","11283","4.7","$3.98","20786","Beauty & Personal Care","B00EUBPHR6","https://www.amazon.com/dp/B00EUBPHR6"
"","","14","Foundation BrushDUcare Flat Top Kabuki Brush Synthetic Professional Makeup Brushes Liquid Blending Mineral Powder Buffing Stippling Makeup Tools Rose Golden/White","DUcare","$6.79","1150","38","$7809","11/13/2016","$2.71","18504","4.7","$4.08","795","Beauty & Personal Care","B01EFKBF4A","https://www.amazon.com/dp/B01EFKBF4A"
"","","15","Artist's Choice Makeup Sponge Mini Applicator Wedges For Foundation Blush Eye Shadow Crisp Edges for Control Effortless Blending and Smoothing Sanitary Single-Use Option Latex Free Pack of 100","Artist's Choice","$9.99","925","30","$9241","02/10/2013","$5.42","4990","4.6","$4.57","1625","Beauty & Personal Care","B00FBRNONW","https://www.amazon.com/dp/B00FBRNONW"
"","","16","Covergirl + Olay Simply Ageless 3-in-1 Liquid Foundation Creamy Natural","COVERGIRL","$11.84","18699","623","$221396","12/17/2013","$6.52","33556","4.5","$5.32","328","Beauty & Personal Care","B01ACPW2QC","https://www.amazon.com/dp/B01ACPW2QC"
"","","17","Hygea Beauty Makeup Sponge Blender Set of 5 - Non Latex Soft Multi-colored Foundation Blending Sponges for Cream Powder and Liquid (Teardrop - Multicolor)","HYGEA BEAUTY","$8.97","1102","36","$9885","10/21/2020","$4.71","3333","4.7","$4.26","18058","Beauty & Personal Care","B08DM8WFWW","https://www.amazon.com/dp/B08DM8WFWW"
"","","18","BEAKEY Makeup Sponge 10 Pcs Latex-free and Vegan Beauty Sponge Flawless for Cream Liquid Foundation & Powder Application","BEAKEY","$9.99","4414","147","$44096","08/09/2020","$5.65","5290","4.7","$4.34","7587","Beauty & Personal Care","B0897J4R1D","https://www.amazon.com/dp/B0897J4R1D"
"","","19","6 Pcs Makeup Blender Beauty Sponge Set - Foundation Blending Beauty Sponge Blender for Liquid Foundation Cream and Powder Super Soft Latex Free Makeup Sponges(Light Pink)","Leeshine","$7.99","1176","39","$9396","09/24/2021","$3.81","429","4.6","$4.18","13936","Beauty & Personal Care","B09TD2VBR1","https://www.amazon.com/dp/B09TD2VBR1"
"","","20","Aesthetica Cosmetics Beauty Sponge Blender - Latex Free and Vegan Makeup Sponge Blender - For Powder Cream or Liquid Application - One Piece Make Up Sponge","Aesthetica","$4.97","8167","272","$40590","12/21/2015","$1.03","39688","4.6","$3.94","1510","Beauty & Personal Care","B013XJUWC0","https://www.amazon.com/dp/B013XJUWC0"
"","","21","ForPro Beauty Wedges Latex Free Foam Sponges Makeup Blenders for Powder and Liquid Makeup 100-Count","ForPro Professional Collection","$11.99","441","14","$5288","12/13/2003","$6.65","504","4.7","$5.34","3731","Beauty & Personal Care","B00011JTI2","https://www.amazon.com/dp/B00011JTI2"
"","","22","The BEAUTYBLENDER Original Pink Blender Makeup Sponge for blending liquid Foundations Powders and Creams. Flawless Professional Streak Free Application Blend Vegan Cruelty Free and Made in the USA","beautyblender","$20.00","9106","303","$182120","01/30/2018","$13.46","18356","4.6","$6.54","1206","Beauty & Personal Care","B07VBNQ367","https://www.amazon.com/dp/B07VBNQ367"
"","","23","EcoTools Bioblender Duo Natural Makeup Blender Beauty Sponges for Liquid and Cream Foundation Set of 2","EcoTools","$8.30","1008","33","$8366","06/23/2017","$4.1","1083","4.6","$4.20","16437","Beauty & Personal Care","B08RQLJRJ3","https://www.amazon.com/dp/B08RQLJRJ3"
"","","24","4 Pcs Makeup Sponge Beauty Blender Set - Makeup Sponges For Foundation Blender with Egg Case and 1 Holder Flawless for Cream Powder and Liquid (4PCSPurple)","Blueness","$5.99","3871","129","$23187","10/05/2021","$1.97","1456","4.6","$4.02","8858","Beauty & Personal Care","B09GKG4QD5","https://www.amazon.com/dp/B09GKG4QD5"
"","","25","InnoGear Makeup Sponge 10 Pcs Makeup Sponges Blender Set Beauty Cosmetic Foundation Blending Applicator Puff Flawless for Liquid Cream Powder (Multi colored)","InnoGear","$9.99","3598","119","$35944","10/23/2019","$5.65","10701","4.6","$4.34","5640","Beauty & Personal Care","B07VVNVQY2","https://www.amazon.com/dp/B07VVNVQY2"
"","","26","BEAKEY 4+1Pcs Makeup Sponges with Powder Brush Foundation Blending Sponge for Liquid Cream and Powder Professional Beauty Sponge Blender & Kabuki Brush","BEAKEY","$7.99","113","3","$903","02/07/2018","$3.81","7050","4.6","$4.18","16243","Beauty & Personal Care","B075CHYM3K","https://www.amazon.com/dp/B075CHYM3K"
"","","27","Real Techniques Miracle Complexion Beauty Sponge Makeup Blender with Case Perfect For Travel Beauty Sponge For Foundation Application Streak-Free Makeup Tool Cruelty Free Latex Free 2 Piece Set","Real Techniques","$6.49","1711","57","$11104","09/08/2017","$2.43","9562","4.7","$4.06","8573","Beauty & Personal Care","B075S4K5R8","https://www.amazon.com/dp/B075S4K5R8"
"","","28","Real Techniques Airblend Sponge Beauty Makeup Sponge For Foundation Blends and Mattifies Blue 1 Count","Real Techniques","$5.18","1303","43","$6750","06/30/2021","$1.23","976","3.8","$3.95","12815","Beauty & Personal Care","B097WYJ9JP","https://www.amazon.com/dp/B097WYJ9JP"
"","","29","Makeup Sponge 18 Pcs Set-Beauty Sponge Foundation Blending Sponge with 2 Pcs Egg Sponge Blending Holder Stand Flawless for Liquid & Creams & Powers (Sponge stand color random)","XING-RUIYANG","$9.99","757","25","$7562","03/07/2020","$5.42","3235","4.7","$4.57","16049","Beauty & Personal Care","B083GTN3RZ","https://www.amazon.com/dp/B083GTN3RZ"
"","","30","8 Pcs Makeup Sponges Blender Set - Makeup Sponges For Foundation Blender with 1 Holder Flawless for Cream Powder and Liquid (8PCS Mix)","Blueness","$5.99","1722","57","$10315","11/26/2021","$1.97","226","4.6","$4.02","7562","Beauty & Personal Care","B09LQL2QWQ","https://www.amazon.com/dp/B09LQL2QWQ"
"","","31","Makeup Sponge Blender Beauty Sponge Set 12pcs and Beauty Foundation Sponge Blender Holder 1PCSBlending Sponges Cosmetic Puff Flawless for Cream Liquid Foundation & PowderGift for Women","S SUSANN","$11.99","1127","37","$13513","11/06/2020","$6.65","957","4.6","$5.34","13573","Beauty & Personal Care","B08FFPHCL6","https://www.amazon.com/dp/B08FFPHCL6"
"","","32","12 Pieces Professional Makeup Sponge SetLatex Free Flawless Soft Setting Face PuffsMulticolor Beauty Blender Cosmetic Applicator for PowderLiquidFacial Makeup Tools","Scartink","$8.59","...","...","...","05/08/2022","$4.36","40","4.3","$4.23","17119","...","B09VKP2T7Z","https://www.amazon.com/dp/B09VKP2T7Z"
"","","33","Premium 5PCS Makeup Sponges Latex Free Facial Sponge Blender Flawless for Powder Cream and Liquid Multi-Colored Facial Beauty Sponges","GUIGUDESN","$4.29","237","7","$1017","06/10/2021","$0.41","166","4.6","$3.88","20340","Beauty & Personal Care","B0933L3QYR","https://www.amazon.com/dp/B0933L3QYR"
"","","34","AOA Studio Collection Makeup Mochi Sponge Set Makeup Blender Latex Free and High-definition Set of 6 Makeup Blender For Powder Cream and Liquid Wonder Blender Beauty Cosmetic (6 Count)","AOA STUDIO","$9.95","...","...","...","01/08/2022","$5.61","266","4.7","$4.34","3756","...","B09MWK3KWS","https://www.amazon.com/dp/B09MWK3KWS"
"","","35","24 PCS Makeup SpongeBeauty Sponge Makeup BlenderFoundation Blending Beauty Sponge with 1 Holder for Liquid and Cream FoundationPowderDry and Wet Use8 Colors","Gddochn","$10.99","...","...","...","06/03/2022","$5.57","8","4.7","$5.42","67049","...","B09X2ZCFVB","https://www.amazon.com/dp/B09X2ZCFVB"
"","","36","FERYES Makeup Sponge Holder  Shatterproof Eco-Friendly Silicone Beauty Make Up Blender Case for Travel - Khaki","FERYES","$9.99","4971","165","$49660","09/30/2021","$5.65","381","4.7","$4.34","3690","Beauty & Personal Care","B09DYK5DWG","https://www.amazon.com/dp/B09DYK5DWG"
"","","37","COSTICA Makeup Sponge Set Blender Beauty Sponge Makeup Blender Flawless for Liquid - Multi Colored 4 pcs Rose Series","光之城 costica","$5.99","2300","76","$13777","03/20/2021","$1.74","1137","4.6","$4.25","5794","Beauty & Personal Care","B08Y5Z64XK","https://www.amazon.com/dp/B08Y5Z64XK"
"","","38","SINEN 4 Pcs Dry and Wet Use Makeup Sponge Set Blender Beauty Foundation Blending Sponge for Liquid Cream and Powder with Egg Sponge Blending Holder Box","SINEN","$4.99","683","22","$3408","03/12/2021","$0.82","972","4.6","$4.17","27671","Beauty & Personal Care","B08R93N2QJ","https://www.amazon.com/dp/B08R93N2QJ"
