"Export time: 8/7/2022, 2:43:34 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: pencil case","","1","CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Green)","CICIMELON","$13.99","49813","2333","$696884","12/16/2020","$8.35","8255","4.7","$5.64","14","Home & Kitchen","B08P4CDWF3","https://www.amazon.com/CICIMELON-Capacity-Pencil-Compartment-School/dp/B08P4CDWF3/ref=sr_1_2?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-2"
"Average Sales: 2,316","","2","EASTHILL Big Capacity Pencil Pen Case Office College School Large Storage High Capacity Bag Pouch Holder Box Organizer Blue (Purple)","EASTHILL","$14.99","42113","2429","$631274","12/17/2020","$9.2","32646","4.7","$5.79","1","Arts Crafts & Sewing","B08P15DWPD","https://www.amazon.com/EASTHILL-Capacity-College-Storage-Organizer/dp/B08P15DWPD/ref=sr_1_3?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-3"
"Average Sales Rank: 26,172","","3","ANGOOBABY Small Pencil Case Student Pencil Pouch Coin Pouch Cosmetic Bag Office Stationery Organizer for Teen School - Black","ANGOOBABY","$6.49","16470","781","$106890","12/13/2021","$1.98","2386","4.6","$4.51","102","Office Products","B09MCJ5F8R","https://www.amazon.com/ANGOOBABY-Student-Cosmetic-Stationery-Organizer/dp/B09MCJ5F8R/ref=sr_1_4?crid=XT8105YEMFF4&keywords=pencil+case&qid=1659907955&sprefix=%2Caps%2C158&sr=8-4"
"Average Price: $13.45","","4","Amazon Basics Woodcased 2 Pencils Pre-sharpened HB Lead - Box of 150 Bulk Box","Amazon Basics","$14.16","63865","2527","$904328","08/31/2017","$5.61","69812","4.8","$8.55","5","Office Products","B071JM699P","https://www.amazon.com/AmazonBasics-Pre-sharpened-Wood-Cased-Pencils/dp/B071JM699P/ref=sxin_14_trfob_0_B071JM699P?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B071JM699P&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-1-eef91bd8-9d31-490c-8bb3-80f02876f902"
"Average Rating Number: 1,984","","5","Toplive 3 Pcs Pencil Case Set Clear Pencil Pouches TPU Zipper Pen Case Bag Pencil Storage Pouch Makeup Bag for Women Portable Office Stationery Pouch for Students Adults","Toplive","$10.99","197","9","$2165","07/05/2021","$6.42","85","4.6","$4.57","14828","Arts Crafts & Sewing","B098NV8DTF","https://www.amazon.com/Toplive-Pouches-Portable-Stationery-Students/dp/B098NV8DTF/ref=sxin_14_trfob_2_B098NV8DTF?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B098NV8DTF&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-2-eef91bd8-9d31-490c-8bb3-80f02876f902"
"","","6","FYY Ultra Thin Case Compatible for Apple Pencil 2nd Generation[2 Pack] Silicone Skin Cover Sleeve for Apple Pencil 2 Case with Protective Nib Covers Compatible for iPad Pro-Black+White","FYY","$10.99","","","","05/10/2021","$7.41","174","4.2","$3.58","277","Tablet Sleeves","B094N36YY5","https://www.amazon.com/FYY-Compatible-Generation-Protective-Pro-Black/dp/B094N36YY5/ref=sxin_14_trfob_3_B094N36YY5?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B094N36YY5&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-3-eef91bd8-9d31-490c-8bb3-80f02876f902"
"","","7","WWW Apple Pencil Holder Case Premium PU Leather Case Carrying Case Sleeve Pouch Cover for Apple iPad Pro Pencil / Pen (with Built-in Elastic Band) Black","Homelove","$10.99","0","","$0","05/16/2018","$6.79","4","4.7","$4.20","1995","Tablet Sleeves","B07D49RQ72","https://www.amazon.com/Pencil-Premium-Leather-Carrying-Elastic/dp/B07D49RQ72/ref=sxin_14_trfob_4_B07D49RQ72?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B07D49RQ72&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-4-eef91bd8-9d31-490c-8bb3-80f02876f902"
"","","8","iDream365 Hard Protective EVA Carrying Case/Pouch/Holder for Executive Fountain PenBallpoint PenActive Stylus Pen-Black","iDream365","$8.98","216","7","$1940","12/17/2016","$4.09","1461","4.6","$4.89","27857","Office Products","B01MRYG2U1","https://www.amazon.com/iDream365-Protective-Executive-Ballpoint-Pen-Black/dp/B01MRYG2U1/ref=sxin_14_trfob_5_B01MRYG2U1?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B01MRYG2U1&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-5-eef91bd8-9d31-490c-8bb3-80f02876f902"
"","","9","MJIYA Pencil Bag Pen Case Felt Students Big Capacity Pouch Zipper Bag Durable Stationery Holder for School Students Supplies Office Storage Desk Organizing (Blue L)","MJIYA","$6.99","700","8","$4893","01/19/2021","$2.4","406","4.4","$4.59","25237","Office Products","B08TBFLW3W","https://www.amazon.com/MJIYA-Students-Capacity-Stationery-Organizing/dp/B08TBFLW3W/ref=sxin_14_trfob_6_B08TBFLW3W?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B08TBFLW3W&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-6-eef91bd8-9d31-490c-8bb3-80f02876f902"
"","","10","Duck Pencil Case for Girls 3D Pen Pouch Stationery Pencil Box Large Capacity Multi Compartment (Yellow Duck)","HonFHena","$12.99","15","1","$195","07/20/2022","$7.27","3","5","$5.72","95520","Office Products","B0B461F7MR","https://www.amazon.com/Pencil-Stationery-Capacity-Compartment-Yellow/dp/B0B461F7MR/ref=sxin_14_trfob_7_B0B461F7MR?content-id=amzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a%3Aamzn1.sym.d1687343-4d33-4fc8-8397-a05b9928ee2a&crid=XT8105YEMFF4&cv_ct_cx=pencil+case&keywords=pencil+case&pd_rd_i=B0B461F7MR&pd_rd_r=2327f7e8-f30e-4194-9871-258f6d3c1ffa&pd_rd_w=BSy9P&pd_rd_wg=Xhqcf&pf_rd_p=d1687343-4d33-4fc8-8397-a05b9928ee2a&pf_rd_r=3G6CWDB19VRYS0P0XK6D&qid=1659907955&sprefix=%2Caps%2C158&sr=1-7-eef91bd8-9d31-490c-8bb3-80f02876f902"
