"Export time: 8/7/2022, 5:49:08 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: qtips","","1","623181 Q-Tips Cotton Swab Standard White 500 Count (Pack of 1)","SC Johnson","$7.64","33957","1304","$259431","08/21/2018","$3.26","34794","4.8","$4.38","20","Beauty & Personal Care","B07GPP3XC1","https://www.amazon.com/SC-Johnson-623181-Cotton-Standard/dp/B07GPP3XC1/ref=sr_1_5?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-5"
"Average Sales: 1,690","","2","Q-tips Cotton Swabs 300 Count (Pack of 2)","Q-Tips","$9.40","13343","564","$125424","07/24/2013","$4.88","11557","4.8","$4.52","309","Beauty & Personal Care","B00E4MP1Y0","https://www.amazon.com/Q-tips-Cotton-Swabs-Count-Pack/dp/B00E4MP1Y0/ref=sr_1_6?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-6"
"Average Sales Rank: 100,502","","3","3 x Q-tips Cotton Swabs 625 ct","Q-tips","$18.99","5871","210","$111490","06/08/2016","$10.35","3114","4.8","$8.64","1984","Beauty & Personal Care","B01GRAZX1C","https://www.amazon.com/Q-tips-Cotton-Swabs-625/dp/B01GRAZX1C/ref=sr_1_7_mod_primary_new?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C309&sr=8-7"
"Average Price: $10.25","","4","Q-tips Cotton Swabs 500 ea (Pack of 2)","Q-tips","$11.99","7212","240","$86472","06/19/2016","$5.05","8662","4.8","$6.94","1288","Beauty & Personal Care","B0176QMIEQ","https://www.amazon.com/dp/B0176QMIEQ"
"Average Rating Number: 2,105","","5","Q-tips Cotton Swabs SWABQTIPSANTIBAC300/PK","Q-tips","$6.95","2617","124","$18188","07/24/2012","$2.85","1037","4.8","$4.10","4106","Beauty & Personal Care","B0014D5O8K","https://www.amazon.com/Q-tips-Cotton-Swabs-Anti-Bacterial-300/dp/B0014D5O8K/ref=sr_1_9?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-9"
"","","6","Q-Tips Cotton Swabs 170 Count 2-Pack","Q-tips","$7.68","4697","156","$36073","10/31/2004","$3.3","3075","4.7","$4.38","4936","Beauty & Personal Care","B00NFUB81M","https://www.amazon.com/dp/B00NFUB81M"
"","","7","MONCOM Cotton Swabs 500 Count Double Round Thick Tips | Biodegradable & Organic Strong Wooden Sticks Cotton Swabs For Ears | Firm Qtips cotton swabs | Natural Cotton Buds 3 inch One Small box","MYQIPGD","$5.99","5826","212","$34898","07/27/2019","$1.97","8457","4.4","$4.02","1960","Beauty & Personal Care","B07SCSW2GJ","https://www.amazon.com/Moncom-Double-Cotton-Strong-Sticks/dp/B07SCSW2GJ/ref=sr_1_11?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-11"
"","","8","FOVURTE Bamboo Cotton Swabs 400 count Organic Cotton Buds for Ears Natural Wooden Cotton Swabs Ears","FOVURTE","$7.19","4790","163","$34440","07/12/2019","$3.07","1126","4.5","$4.12","2860","Beauty & Personal Care","B08PJVLZGY","https://www.amazon.com/FOVURTE-bamboo-cotton-organic-natural/dp/B08PJVLZGY/ref=sr_1_12?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-12"
"","","9","Q-tips Antimicrobial Swabs for Cleaning are Made with 100 Percent Cotton 300 Count Pack of 12","Q-tips","$29.64","1620","52","$48017","06/14/2021","$14.35","208","4.8","$15.29","10824","Beauty & Personal Care","B095Z325K4","https://www.amazon.com/Q-tips-Antimicrobial-Cleaning-Percent-Cotton/dp/B095Z325K4/ref=sr_1_13?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-13"
"","","10","Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 750 Count","Q-tips","$12.00","563","9","$6756","04/21/2014","$6.43","11323","4.9","$5.57","45696","Beauty & Personal Care","B00J4YYFYA","https://www.amazon.com/Q-tips-Cotton-Swabs-Original-750/dp/B00J4YYFYA/ref=sr_1_14?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-14"
"","","11","Q-tips Cotton Swabs 500 Count (Pack of 2)","Q-tips","$7.34","533","12","$3912","10/08/2012","$1.61","4448","4.8","$5.73","37985","Beauty & Personal Care","B00DUGPW40","https://www.amazon.com/Q-tips-Cotton-Swabs-500-Pack/dp/B00DUGPW40/ref=sr_1_15?crid=YQBUQ3MFP1OG&keywords=qtips&qid=1659918305&sprefix=%2Caps%2C309&sr=8-15"
"","","12","Sky Organics Organic Cotton Swabs for Sensitive Skin 100% Pure GOTS Certified Organic for Beauty & Personal Care 500 ct.","Sky Organics","$7.99","13062","423","$104365","03/22/2019","$3.58","22528","4.6","$4.41","582","Beauty & Personal Care","B07CWK4BKV","https://www.amazon.com/Sky-Organics-Cotton-Swabs-Pack/dp/B07CWK4BKV/ref=sxin_25?asc_contentid=amzn1.osa.f1af3fc9-62fd-417a-94dc-0e8a76305455.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.f1af3fc9-62fd-417a-94dc-0e8a76305455.ATVPDKIKX0DER.en_US&content-id=amzn1.sym.fbbb48ea-8f4f-47b9-a693-6439c94fd040%3Aamzn1.sym.fbbb48ea-8f4f-47b9-a693-6439c94fd040&creativeASIN=B07CWK4BKV&crid=YQBUQ3MFP1OG&cv_ct_cx=qtips&cv_ct_id=amzn1.osa.f1af3fc9-62fd-417a-94dc-0e8a76305455.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=qtips&linkCode=oas&pd_rd_i=B07CWK4BKV&pd_rd_r=c96f4705-75d5-4e4b-848f-581fa1d7bc9f&pd_rd_w=2RRza&pd_rd_wg=YcA0N&pf_rd_p=fbbb48ea-8f4f-47b9-a693-6439c94fd040&pf_rd_r=HVQ7K7FSJ5V587HH238B&qid=1659918305&sprefix=%2Caps%2C309&sr=1-1-071eec3b-aca5-449e-bbff-36c3e2e2e9e2&tag=the-angle-20"
