"Export time: 8/6/2022, 12:17:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: sheet protectors","","1","Amazon Basics Sheet Protector - Non-Glare 100-Pack","Amazon Basics","$7.92","16536","551","$130965","09/25/2019","$1.59","10625","4.7","$6.33","126","Office Products","B07R8DX3ZX","https://www.amazon.com/dp/B07R8DX3ZX"
"Average Sales: 671","","2","Amazon Basics Clear Sheet Protectors for 3 Ring Binder 8.5 x 11 Inch 100-Pack","Amazon Basics","$8.84","31522","1050","$278654","09/24/2019","$2.37","12933","4.8","$6.47","70","Office Products","B07R8D1RHS","https://www.amazon.com/dp/B07R8D1RHS"
"Average Sales Rank: 75,353","","3","KTRIO Sheet Protectors 8.5 x 11 inch Clear Page Protectors for 3 Ring Binder Plastic Sleeves for Binders Top Loading Paper Protector Letter Size 50 Pack","KTRIO","$5.99","21469","715","$128599","11/06/2019","$2.02","21963","4.8","$3.97","112","Office Products","B07X7WYKP9","https://www.amazon.com/dp/B07X7WYKP9"
"Average Price: $18.22","","4","Better Office Products Sheet Protectors 200 Piece","Better Office Products","$12.49","7641","254","$95436","11/28/2016","$4.83","20406","4.7","$7.66","915","Office Products","B01N9BOL6R","https://www.amazon.com/dp/B01N9BOL6R"
"Average Rating Number: 797","","5","Samsill Sheet Protectors for 3 Ring Binder 8.5 x 11 inch Clear Page Protectors Top Loading Paper Protector Letter Size Plastic Sleeves for Binders 200 Piece Heavy Duty","Samsill","$17.99","5226","174","$94016","10/31/2017","$8.56","12575","4.8","$9.43","1419","Office Products","B07736KVRJ","https://www.amazon.com/dp/B07736KVRJ"
"","","6","Avery Heavyweight Diamond Clear Sheet Protectors 8.5' x 11' Acid-Free Archival Safe Easy Load 200ct (74400)","AVERY","$28.13","3412","113","$95980","04/17/2006","$17.18","5697","4.7","$10.95","2213","Office Products","B0012VI9V8","https://www.amazon.com/dp/B0012VI9V8"
"","","7","Sheet Protectors PANDRI 500 Pack Clear Heavy Duty Plastic Page Protectors Sheet Reinforced 11-Hole Fit for 3 Ring Binder Fits Standard 8.5 x 11 Paper 9.25 x 11.25 Top Loaded Acid Free","PANDRI","$21.59","10058","335","$217152","07/08/2020","$11.02","2348","4.6","$10.57","291","Office Products","B08CMG5MCB","https://www.amazon.com/dp/B08CMG5MCB"
"","","8","Sheet Protectors for 3 Ring Binder - 100 Heavy Duty Plastic Page Protectors for 3 Ring Binder - Sleeves 8.5 x 11 for Paper & Documents","Supplies Sense","$9.99","4580","152","$45754","11/21/2019","$3.35","3808","4.7","$6.64","853","Office Products","B089GFSWKF","https://www.amazon.com/dp/B089GFSWKF"
"","","9","Mr. Pen- Sheet Protectors 8.5 x 11 Inches 50 Pack Sheet Protectors for 3 Ring Binder Clear Plastic Sleeves Binder Sleeves Clear Sheet Protectors Paper Protector Sheets Plastic Page Protectors","Mr. Pen","$5.65","2420","80","$13673","07/02/2022","$1.73","6","5","$3.92","2606","Office Products","B0B5PCY74P","https://www.amazon.com/dp/B0B5PCY74P"
"","","10","Puroma 500 Pack Sheet Protectors 11 Hole Clear Heavy Duty Page Protectors Fits Standard 8.5 x 11 inch Top Loading Paper Protector Plastic Sleeves for Binders","Puroma","$20.79","1697","56","$35281","11/09/2021","$10.34","69","4.6","$10.45","3461","Office Products","B09LH1ZBPL","https://www.amazon.com/dp/B09LH1ZBPL"
"","","11","Amazon Basics Sheet Protector - Heavy Duty Non-Glare 100-Pack","Amazon Basics","$12.00","2770","92","$33240","09/24/2019","$4.41","2761","4.8","$7.59","1953","Office Products","B07R66CR6V","https://www.amazon.com/dp/B07R66CR6V"
"","","12","Avery 76000 Secure Top Sheet Protectors Super Heavy Gauge Letter Diamond Clear (Pack of 25)","AVERY","$7.99","2516","83","$20103","12/02/2004","$2.27","2051","4.8","$5.72","3365","Office Products","B00006IC8F","https://www.amazon.com/dp/B00006IC8F"
"","","13","50 Sheet Protectors Durable Clear Page Protectors 8.5 X 11 Inch for 3 Ring Binder Plastic Sheet Sleeves Durable Top Loading Paper Protector with Reinforced Holes Archival Safe","Performore","$9.97","528","17","$5264","11/30/2017","$3.33","272","4.7","$6.64","7975","Office Products","B0892VCLPM","https://www.amazon.com/dp/B0892VCLPM"
"","","14","Clear Sheet Protectors for 3 Ring Binder Page Protectors 50 Pack- 8.5 x 11 Non Glare Clear Heavy Duty Page Protector Binder Sleeves Plastic Sheet Protectors - by Enday","Enday","$4.99","594","19","$2964","08/23/2021","$0.7","108","4.5","$4.29","7056","Office Products","B09DGRZQ8Q","https://www.amazon.com/dp/B09DGRZQ8Q"
"","","15","Sheet Protectors 500 PagePage Protector 8.5' x 11' Upgraded Thick Materialfor 3 Ring Binder Top Loading Paper Protector with Reinforced HolesHolds Multiple SheetsLetter Size","SMELHA","$25.99","696","23","$18089","07/04/2021","$15.06","184","4.5","$10.93","10012","Office Products","B098NKKVG6","https://www.amazon.com/dp/B098NKKVG6"
"","","16","Mr. Pen- Sheet Protectors 8.5 x 11 Inches 50 Pack Page Protectors Clear Page Protectors for 3 Ring Binder Clear Plastic Sleeves Binder Sleeves Plastic Sheet Protectors Back to School Supplies","Mr. Pen","$4.99","600","20","$2994","04/13/2021","$1.17","296","4.7","$3.82","4964","Office Products","B092M26WZB","https://www.amazon.com/dp/B092M26WZB"
"","","17","KTRIO Heavyweight Sheet Protectors 8.5 x 11 inch 3 Mil Clear Page Protectors for 3 Ring Binder Plastic Sleeves for Binders Top Loading Paper Protector Letter Size 30 Pack","KTRIO","$5.99","1073","35","$6427","03/30/2020","$2.02","682","4.7","$3.97","4459","Office Products","B085NGFGPX","https://www.amazon.com/dp/B085NGFGPX"
"","","18","Sheet Protectors HERKKA 500 Pack Sheet Protectors Holds 8.5 x 11 inch Sheets 9.25 x 11.25 inch Top Loading Clear Reinforced 11-Hole Fit for 3 Ring Binder Acid Free Top Loading Paper Protector","HERKKA","$24.99","881","29","$22016","02/24/2020","$14.51","1033","4.6","$10.48","16959","Office Products","B0854CGF7W","https://www.amazon.com/dp/B0854CGF7W"
"","","19","Avery Clear High-Capacity Sheet Protectors Hold 50 Sheets Heavyweight 25 Multi Page Protectors (74171)","AVERY","$6.78","2070","69","$14035","12/01/2004","$2.69","1126","4.7","$4.09","2967","Office Products","B00006IC80","https://www.amazon.com/dp/B00006IC80"
"","","20","500/Box Clear Heavyweight Poly Sheet Protectors by Gold Seal 8.5' x 11'","GOLD SEAL","$32.99","236","7","$7786","03/08/2020","$19.81","442","4.7","$13.18","24373","Office Products","B085PWQ4WT","https://www.amazon.com/dp/B085PWQ4WT"
"","","21","Better Office Sheet Protectors 50 Pack","Better Office Products","$5.29","3614","120","$19118","04/10/2018","$1.43","18421","4.7","$3.86","1903","Office Products","B07C425X2N","https://www.amazon.com/dp/B07C425X2N"
"","","22","Sheet Protectors 8.5 x 11 Inches Crystal Clear Page Protectors for 3 Ring Binder Medium Weight Plastic Sleeves Top Loading Paper Protector Acid Free Letter Size Dry Erase Pocket 50 Sheets","VST","$5.59","590","19","$3298","08/19/2021","$1.68","167","4.7","$3.91","10723","Office Products","B09CYLRMVT","https://www.amazon.com/dp/B09CYLRMVT"
"","","23","Amazon Basics Sheet Protector - Heavy Duty 100-Pack","Amazon Basics","$9.99","1513","50","$15115","09/24/2019","$2.7","1959","4.8","$7.29","3424","Office Products","B07R66CQG5","https://www.amazon.com/dp/B07R66CQG5"
