"Export time: 8/5/2022, 11:41:21 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: vegan mascara","","1","COVERGIRL Lash Blast Clean Volume Mascara Very Black 0.44 Fl Oz Pack of 1","COVERGIRL","$5.72","15683","522","$89707","12/12/2020","$1.72","10105","4.4","$4.00","671","Beauty & Personal Care","B08M96YZN1","https://www.amazon.com/dp/B08M96YZN1"
"Average Sales: 2,150","","2","essence | Lash Princess Curl Mascara | For Dramatic Curl & Volume | Vegan | Alcohol Paraben Free | Cruelty Free","essence cosmetics","$4.99","14921","497","$74456","06/13/2021","$1.67","9339","4.4","$3.32","692","Beauty & Personal Care","B08VW5974C","https://www.amazon.com/dp/B08VW5974C"
"Average Sales Rank: 193,768","","3","Pacifica Beauty Stellar Gaze Length & Strength Black Mascara For Volume and Length Vitamin B + Coconut Natural Lash Effect Silicone Sulfate + Paraben Free Vegan and Cruelty Free","Pacifica","$13.99","2724","90","$38109","01/23/2015","$8.35","3676","4.3","$5.64","5357","Beauty & Personal Care","B00FBOXMK0","https://www.amazon.com/dp/B00FBOXMK0"
"Average Price: $16.26","","4","essence | Lash Princess False Lash Waterproof Mascara | Cruelty Free (Pack of 1)","essence cosmetics","$4.99","29038","967","$144900","01/14/2019","$1.05","49789","4.4","$3.94","88","Beauty & Personal Care","B07TXJHYKB","https://www.amazon.com/dp/B07TXJHYKB"
"Average Rating Number: 3,944","","5","essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free","essence cosmetics","$4.99","58101","1936","$289924","08/07/2015","$1.67","263965","4.4","$3.32","1","Beauty & Personal Care","B00T0C9XRK","https://www.amazon.com/dp/B00T0C9XRK"
"","","6","Poppy Austin Mascara 9g - Lash Mascara - 100% Organic Paraben-Free Vegan Cruelty-Free Mascara Black - Hypoallergenic Mascara Lengthening & Volumising with Argan Oil","poppy austin","$21.99","852","28","$18735","01/26/2019","$15.77","7166","4.1","$6.22","24627","Beauty & Personal Care","B07571454N","https://www.amazon.com/dp/B07571454N"
"","","7","Maybelline New York Green Edition Mega Mousse Mascara Makeup Smooth Buildable and Lightweight Volume Formulated with Shea Butter Very Black 0.3 fl oz","Maybelline New York","$8.42","1821","60","$15333","11/13/2021","$4.21","433","4.1","$4.21","12352","Beauty & Personal Care","B09JHWM5YD","https://www.amazon.com/dp/B09JHWM5YD"
"","","8","Vivienne Sab Paris - Classic Everyday Mascara Cabaret Premiere Cruelty Free Black Made in Europe","Vivienne Sab","$12.95","11037","367","$142929","11/13/2016","$8.09","22505","4.3","$4.86","718","Beauty & Personal Care","B01LYSCW6Z","https://www.amazon.com/dp/B01LYSCW6Z"
"","","9","Pacifica Beauty Vegan Collagen Fluffy Lash Black Mascara For Volume and Length Feathery Full Lashes Clean Makeup Talc Free Silicone-Free Vegan and Cruelty Free","Pacifica","$13.60","913","30","$12417","10/13/2021","$8.64","397","3.9","$4.96","15329","Beauty & Personal Care","B09J1SBRLW","https://www.amazon.com/dp/B09J1SBRLW"
"","","10","Rimmel KIND & FREE Clean Mascara Cruelty-Free & Vegan 001 Black 0.23 Fl Oz","Rimmel","$7.87","405","13","$3187","01/19/2022","$4.32","124","4.3","$3.55","34571","Beauty & Personal Care","B09LB8R5PX","https://www.amazon.com/dp/B09LB8R5PX"
