,product_name,brand,price,monthly_sales,daily_sales,monthly_revenue,date_first_available,net,rating_number,rating,fees,product_rank,category,asin,link
0,Organic Bath Bombs - 25 Extra Large Pcs + 3 Bubble Bars & Dried Flowers - Bubble Bath Shower Salts for Women Men & Kids - Relaxing Bathbombs Gift Set Bath Essentials Shower Steamers,Lagunamoon,23.99,3768.0,125.0,90394.0,03/08/2020,14.6,4550,4.4,9.39,6475.0,Beauty & Personal Care,B085NJ7ZNN,https://www.amazon.com/dp/B085NJ7ZNN
1,Bath Bombs 7 Natural Bath Bomb Gift Set Handmade Bubble Bathbombs for Women Kids Shea Butter Moisturize Gifts for Mom Her Girlfriend Mothers Day Gifts for Birthday Valentines Christmas,STNTUS INNOVATIONS,14.99,3082.0,102.0,46199.0,06/11/2019,7.6,1546,4.6,7.39,5648.0,Beauty & Personal Care,B07Q6BLNT6,https://www.amazon.com/dp/B07Q6BLNT6
2,LifeAround2Angels Bath Bombs Gift Set 12 USA made Fizzies Shea & Coco Butter Dry Skin Moisturize Perfect for Bubble & Spa Bath. Handmade Birthday Mothers day Gifts idea For Her/Him wife girlfriend,Lifearound2angels,21.44,11256.0,375.0,241329.0,01/25/2017,12.43,40630,4.8,9.01,672.0,Beauty & Personal Care,B01MFGN8S5,https://www.amazon.com/dp/B01MFGN8S5
3,Nagaliving Bath Bombs Gift Set 10 Organic Bubble Bath Bombs Wonderful Fizz Effect Bath Gift for Valentines Day Christmas,nagaliving,9.99,4460.0,148.0,44555.0,11/11/2019,4.05,2634,4.4,5.94,5041.0,Beauty & Personal Care,B081DGZP4B,https://www.amazon.com/dp/B081DGZP4B
4,Bath Bombs for Women - 24 All Natural BathBombs with Organic Essential Oils Moisturizing Shea Butter and Bath Salts for Relaxation and Stress Relief- Bath Bombs Gift Set - Gift for Kids Women,Mineral Me California,25.45,1638.0,54.0,41687.0,08/17/2020,14.9,2317,4.7,10.55,9033.0,Beauty & Personal Care,B08G4DB4DB,https://www.amazon.com/dp/B08G4DB4DB
5,JOYIUS Bath Bombs Gift Set with Natural Essential Oils Fizzy Spa Moisturizes Dry Skin Bubble Baths Valentines Day Gift Ideas for Girlfriends Women Moms Wife Her/Him 6 x 4.0 Oz,JOYIUS,7.99,76.0,2.0,607.0,04/15/2020,2.21,254,4.4,5.78,112946.0,Beauty & Personal Care,B087T2LKBT,https://www.amazon.com/dp/B087T2LKBT
6,Organic Bath Bombs Gift Set 50 Handmade Bulk Bath Bombs For Kids Women Men Wonderful Fizz Effect Bath Gift For Valentine's Day Christmas & Any Anniversaries,nagaliving,35.19,1631.0,54.0,57395.0,10/15/2019,19.45,2708,4.4,15.74,10140.0,Beauty & Personal Care,B07R8YFY4F,https://www.amazon.com/dp/B07R8YFY4F
7,10 Bath Bombs for Kids Bath Bomb Gift Set Natural Bubble Bathbombs Shea Butter Dry Skin Moisturize Fizzy Spa Bath for Her Mom Women Kids Girls Girlfriend Birthday Christmas Valentines Mothers Day,comfso,16.99,1407.0,46.0,23905.0,02/25/2021,9.3,1104,4.7,7.69,14111.0,Beauty & Personal Care,B08PFJ3T1Z,https://www.amazon.com/dp/B08PFJ3T1Z
8,30 Pcs Bath Bomb Gift Set Natural Organic Mini Bath Bombs Handmade with Rich Fizz - Best Birthday Gift for Kids/Women/Men Mother's Day,PickMora,18.39,2324.0,77.0,42738.0,02/10/2021,9.84,3311,4.5,8.55,5538.0,Beauty & Personal Care,B0883D2SC5,https://www.amazon.com/dp/B0883D2SC5
9,Aofmee Bath Bombs Gift Set Handmade Bubble and Floating Fizzies Spa Kit Shea and Cocoa Dry Skin Moisturize Birthday Valentines Mothers Day Anniversary Christmas Gifts for Women Mom Her Kids,Aofmee,14.99,2446.0,81.0,36666.0,06/08/2019,7.6,9952,4.7,7.39,6169.0,Beauty & Personal Care,B07Q8XDQYJ,https://www.amazon.com/dp/B07Q8XDQYJ
