"Export time: 8/7/2022, 5:59:11 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: cotton balls","","1","Amazon Basics Cotton Balls 200ct 3-Pack (Previously Solimo)","Amazon Basics","$8.99","22495","749","$202230","10/09/2021","$0.94","3582","4.7","$8.05","163","Beauty & Personal Care","B0949C1YML","https://www.amazon.com/dp/B0949C1YML"
"Average Sales: 683","","2","Diane 100% Cotton Balls DEE051 100 Count (Pack of 1)","Diane","$2.99","17686","589","$52881","09/24/2021","$-0.85","22499","4.3","$3.84","163","Beauty & Personal Care","B09GTPR2QH","https://www.amazon.com/dp/B09GTPR2QH"
"Average Sales Rank: 370,111","","3","Spa Stix Cotton Balls. 500 Count Medium Size. Non Sterile Super Soft.","Spa Stix","$7.25","1762","58","$12775","03/24/2021","$2.9","742","4","$4.35","11074","Beauty & Personal Care","B09166YB9L","https://www.amazon.com/dp/B09166YB9L"
"Average Price: $20.08","","4","DecorRack 300 Small Cotton Balls for Make-Up Nail Polish Removal Applying Oil Lotion or Powder Multi-Purpose Balls Made from 100% Natural Cotton Soft and Absorbent for Household Needs (300 Count)","DecorRack","$6.99","3073","102","$21480","06/17/2019","$2.89","8022","4.2","$4.10","10336","Beauty & Personal Care","B07T7Z7BR6","https://www.amazon.com/dp/B07T7Z7BR6"
"Average Rating Number: 771","","5","Amazon Brand - Solimo Cotton Balls 200 Count (Pack of 1)","Solimo","$3.32","22468","748","$74594","04/21/2022","$-0.52","22561","4.8","$3.84","137","Beauty & Personal Care","B07RNYT58Q","https://www.amazon.com/dp/B07RNYT58Q"
"","","6","MED PRIDE Premium 100% Pure Cotton Balls 300 Count- Multipurpose Cotton Balls for Makeup Remover Nail Polish Applying Lotions & More- Ultra Soft and Absorbent Small Cotton Balls for Everyday Use","MED PRIDE","$7.99","1882","62","$15037","11/29/2021","$3.81","662","3.9","$4.18","10416","Beauty & Personal Care","B09MSLGJTF","https://www.amazon.com/dp/B09MSLGJTF"
"","","7","Swisspers Premium Exfoliating Rounds 2 Distinct Raised Textured Surface Cotton Facial Pads 80 Count Re-closable Bag","Swisspers","$2.98","3701","123","$11029","04/16/2013","$-0.86","22960","4.7","$3.84","54","Beauty & Personal Care","B00CEJJNWQ","https://www.amazon.com/dp/B00CEJJNWQ"
"","","8","Cliganic Organic Super Jumbo Cotton Balls (200 Count) - Biodegradable Hypoallergenic Absorbent Large Size 100% Pure","Cliganic","$9.99","1744","58","$17423","10/06/2019","$5.42","903","4.3","$4.57","10358","Beauty & Personal Care","B07YSQS43K","https://www.amazon.com/dp/B07YSQS43K"
"","","9","Cliganic Super Jumbo Cotton Balls (200 Count) - Hypoallergenic Absorbent Large Size 100% Pure","Cliganic","$8.99","2572","85","$23122","11/26/2019","$4.5","3535","4.4","$4.49","5232","Beauty & Personal Care","B07YSN9Y9H","https://www.amazon.com/dp/B07YSN9Y9H"
"","","10","Sky Organics Organic Jumbo Cotton Balls for Sensitive Skin 100% Pure GOTS Certified Organic for Beauty & Personal Care 300 ct.","Sky Organics","$14.99","2595","86","$38899","03/09/2019","$8.97","4914","4.6","$6.02","7861","Beauty & Personal Care","B07CWJV3CL","https://www.amazon.com/dp/B07CWJV3CL"
