"Export time: 8/7/2022, 3:02:41 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: eco makeup brush set","","1","EcoTools Makeup Brush Set for Eyeshadow Foundation Blush and Concealer with Bonus Storage Case Start the Day Beautifully Travel Friendly 6 Piece Set","EcoTools","$9.98","7014","129","$70000","10/20/2018","$5.64","19137","4.7","$4.34","3880","Beauty & Personal Care","B075S543DR","https://www.amazon.com/EcoTools-Cruelty-Beautifully-Kit-Angled-Foundation-Blurring/dp/B075S543DR/ref=sr_1_5?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-5"
"Average Sales: 1,348","","2","EcoTools Brush Set On The Go White 4 Count","EcoTools","$6.02","631","37","$3799","04/21/2019","$2","1693","4.5","$4.02","15178","Beauty & Personal Care","B075RY871N","https://www.amazon.com/EcoTools-1613M-Go-Style-Kit/dp/B075RY871N/ref=sr_1_6?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-6"
"Average Sales Rank: 124,474","","3","EcoTools Luxe Natural Elegance Professional Face Makeup & Foundation Brush Set For Face Cheek and Eye Makeup Ecofriendly Makeup Brushes Pink Luxurious and Glamorous 5 Piece Set","EcoTools","$11.79","2472","64","$29145","01/09/2022","$6.48","189","4.6","$5.31","8708","Beauty & Personal Care","B09PC8SFK7","https://www.amazon.com/EcoTools-Professional-Foundation-Ecofriendly-Luxurious/dp/B09PC8SFK7/ref=sr_1_7?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-7"
"Average Price: $15.65","","4","EcoTools-Cruelty Free Confidence in Bloom Brush Set-Cruelty Free Synthetic Taklon Bristles Recycled Packaging Recycled Aluminum Ferrules","EcoTools","$24.00","59","7","$1416","10/08/2019","$16.63","204","4.6","$7.37","54526","Beauty & Personal Care","B075S4W9VY","https://www.amazon.com/EcoTools-Cruelty-Confidence-Set-Cruelty-Synthetic-Packaging/dp/B075S4W9VY/ref=sr_1_8_mod_primary_new?keywords=eco+makeup+brush+set&qid=1659908752&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-8"
"Average Rating Number: 2,477","","5","EcoTools 360 Ultimate Blend Makeup Brushes For Cream & Stick Makeup Foundation Concealer Highlighter Brush Set of 3","EcoTools","$13.69","1363","52","$18659","11/22/2018","$8.1","1749","4.6","$5.59","10856","Beauty & Personal Care","B07FTNTQWM","https://www.amazon.com/EcoTools-1636M-Ecotools-Refresh-In/dp/B07FTNTQWM/ref=sr_1_9_mod_primary_new?keywords=eco+makeup+brush+set&qid=1659908752&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-9"
"","","6","Bamboo Naturals Makeup Brushes Natural Bamboo Handles Includes Five Brushes: Powder Foundation Brush Liquid Foundation Brush Eyeshadow Brush Smudge Brush Angled Eyeliner Brush","Bamboo Luxury","$7.66","140","9","$1072","10/23/2016","$3.51","271","4.5","$4.15","46806","Beauty & Personal Care","B01M0HYDFG","https://www.amazon.com/Bamboo-Naturals-Brushes-Natural-Handles/dp/B01M0HYDFG/ref=sr_1_10?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-10"
"","","7","EcoTools Eye Enhancing Duo Makeup Brush Kit For Enhanced Eye Look Use to Define Blend Smudge and Shade 2 Piece Set","EcoTools","$5.87","4673","184","$27431","11/15/2013","$2.48","11358","4.7","$3.39","2406","Beauty & Personal Care","B00GNA9KKM","https://www.amazon.com/EcoTools-Enhancing-Sustainable-Materials-Synthetic/dp/B00GNA9KKM/ref=sr_1_11?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-11"
"","","8","Ecotools Eye Kit Interchangeables Makeup Brush Set with Case Includes 7 Brushes","EcoTools","$7.99","140","6","$1119","","$3.58","381","4.6","$4.41","63942","Beauty & Personal Care","B08BX26Y6G","https://www.amazon.com/Ecotools-Interchangeables-Makeup-Brush-Brushes/dp/B08BX26Y6G/ref=sr_1_12?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-12"
"","","9","Real Perfection Makeup Brushes 16pcs Makeup Brushes Set with 1 Eyebrow Razor Premium Synthetic Foundation Brushes Blending Face Powder Eye Shadow Concealer Make Up Brushes Tool Kit","Real Perfection","$9.99","9209","427","$91998","06/06/2019","$6.12","1491","4.6","$3.87","573","Beauty & Personal Care","B09BZ4NV2R","https://www.amazon.com/Real-Perfection-Synthetic-Foundation-Concealer/dp/B09BZ4NV2R/ref=sr_1_13?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-13"
"","","10","Makeup Brushes 22 Pcs Makeup KitFoundation Brush Eyeshadow Brush Make up Brushes Set (Green 22 Piece Set)","Koccido","$12.99","13802","452","$179288","06/26/2021","$7.27","3347","4.4","$5.72","509","Beauty & Personal Care","B094NLR225","https://www.amazon.com/Makeup-Brushes-Foundation-Brush-Eyeshadow/dp/B094NLR225/ref=sr_1_14?keywords=eco+makeup+brush+set&qid=1659908752&sprefix=ecio+makeup+brush+set%2Caps%2C178&sr=8-14"
