"Export time: 8/6/2022, 4:22:56 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: faux mink eyelashes","","1","Pooplunch False Eyelashes Cat-Eye Fluffy Faux Mink Lashes 8D Wispy Lashes 7 Pairs Pack Dramatic Long Thick Volume Fake Eye Lash Multipack","Pooplunch","$8.99","29057","968","$261222","05/10/2021","$5.35","13976","4.4","$3.64","39","Beauty & Personal Care","B09278TNHM","https://www.amazon.com/dp/B09278TNHM"
"Average Sales: 2,106","","2","ALICROWN Faux Mink Lashes Pack 3D Volume Natural Fluffy Wispies Cross False Eyelashes","ALICROWN HAIR","$7.99","3010","100","$24050","05/10/2020","$4.43","6198","4.4","$3.56","4987","Beauty & Personal Care","B085VRQQ46","https://www.amazon.com/dp/B085VRQQ46"
"Average Sales Rank: 57,652","","3","30 Pairs 20MM False Eyelashes Wholesale 6 Styles Mixed Lashes 8D Fluffy Volume Dramatic Faux Mink Eyelashes Pack","alphonse","$15.99","5446","181","$87082","12/07/2020","$10.67","5551","4.5","$5.32","2973","Beauty & Personal Care","B08PB2MDGG","https://www.amazon.com/dp/B08PB2MDGG"
"Average Price: $10.00","","4","HBZGTLAD 6 Pairs Fluffy False Eyelashes Natural Faux Mink Strip 3D Lashes Pack (MDF-12)","HBZGTLAD","$7.98","13771","459","$109893","01/14/2020","$4.42","28836","4.3","$3.56","390","Beauty & Personal Care","B07Z7FSHL8","https://www.amazon.com/dp/B07Z7FSHL8"
"Average Rating Number: 1,915","","5","DYSILK 5 Pairs 6D lashes Faux Mink Eyelashes Fluffy Natural Look False Eyelashes Wispies Long Extension Eyelashes Pack Makeup Thick Fake Eyelashes Soft Reusable Lashes |001-15mm","DYSILK","$7.29","13350","445","$97322","04/07/2019","$3.79","25562","4.4","$3.50","545","Beauty & Personal Care","B07QNJ9ZKC","https://www.amazon.com/dp/B07QNJ9ZKC"
"","","6","Veleasha False Eyelashes Wispy Faux Mink Lashes Fluffy Handmade Fake Eyelashes 18MM Natural Look 7 Pairs Pack Luxury Cat Eye Lashes (804)","Veleasha","$8.96","8606","286","$77110","07/27/2021","$5.32","3134","4.3","$3.64","1195","Beauty & Personal Care","B099W9R3K7","https://www.amazon.com/dp/B099W9R3K7"
"","","7","Newcally Lashes False Eyelashes Cat Eyes Wispy Natural Faux Mink Lashes 14 Pairs Pack Light Volume Short Fake Eye Lashes Multipack","Newcally","$9.49","15614","520","$148177","06/28/2020","$5.81","14954","4.3","$3.68","412","Beauty & Personal Care","B089LLLYX9","https://www.amazon.com/dp/B089LLLYX9"
"","","8","20 Pairs False Eyelashes Natural Fluffy Cat Eye Fake Eye Lashes 4 Styles Mixed Thick Wispy 5D Faux Mink Eyelashes Multipack","Yawamica","$12.99","7451","248","$96788","09/01/2021","$8.12","3679","4.3","$4.87","1708","Beauty & Personal Care","B09CG9YKM8","https://www.amazon.com/dp/B09CG9YKM8"
"","","9","Veleasha 5D Faux Mink Lashes Handmade Luxurious Volume Fluffy Natural False Eyelashes 7 Pairs | Dubai","Veleasha","$8.88","7122","237","$63243","06/30/2019","$5.25","25825","4.4","$3.63","1537","Beauty & Personal Care","B07RN7Q66N","https://www.amazon.com/dp/B07RN7Q66N"
"","","10","False Eyelashes 48 Pairs 6 Styles Mixed Fluffy Curled Fake Eye Lashes Bulk Wholesale Dramatic Thick 5D Wispy Strip Faux Mink Eyelashes Multipack","ALICE","$21.99","4133","137","$90885","08/05/2021","$15.77","1097","4.4","$6.22","3431","Beauty & Personal Care","B09B3FHQMY","https://www.amazon.com/dp/B09B3FHQMY"
"","","11","20 Pairs False Eyelashes 3D Faux Mink Lashes Natural Look Wispy Fake Eyelashes ALPHONSE 16-20MM Fluffy Volume Long Thick Lashes Pack 5 Styles Mixed","alphonse","$9.99","9104","303","$90949","09/21/2020","$6.27","6198","4.4","$3.72","970","Beauty & Personal Care","B08TWWRJJD","https://www.amazon.com/dp/B08TWWRJJD"
"","","12","Lanflower Fake Eyelashes Natural Look Dramatic 3D Lashes Pack Faux Mink 20 Pairs 4 Styles","LANFLOWER","$9.98","4681","156","$46716","08/07/2020","$6.26","4948","4.4","$3.72","3433","Beauty & Personal Care","B08GL8SSY5","https://www.amazon.com/dp/B08GL8SSY5"
"","","13","Russian Strip Lashes D Curl Faux Mink Eyelashes Natural Look Fluffy Volume Wispy False Lashes 20 Pairs","LANFLOWER","$9.99","1090","36","$10889","03/12/2022","$6.27","319","4.1","$3.72","16997","Beauty & Personal Care","B09TWHWVZJ","https://www.amazon.com/dp/B09TWHWVZJ"
"","","14","Newcally Russian Strip Lashes Mink DD Curl Wispy Fluffy False Eyelashes Natural Thick Volume Faux Mink Eye Lashes Pack Reusable Handmade Like Fake Lashes Extension 14 Pairs","Newcally","$9.99","...","...","...","08/26/2020","$6.27","14774","4.3","$3.72","399","...","B09SYSCY47","https://www.amazon.com/dp/B09SYSCY47"
"","","15","JIMIRE 20 Pairs False Eyelashes 4 Styles Fluffy Eyelashes Pack 3D Volume Faux Mink Lashes Packs","JIMIRE","$9.98","7064","235","$70499","08/30/2020","$6.26","11142","4.4","$3.72","1676","Beauty & Personal Care","B08D9563ZW","https://www.amazon.com/dp/B08D9563ZW"
"","","16","20 Pairs False Eyelashes Natural Faux Mink | Natural Look|100% Handmade|Reusable| Fluffy Volume Long Thick Lashes |12mm","Opiqcey","$9.99","788","26","$7872","09/19/2020","$5.65","7540","4","$4.34","20640","Beauty & Personal Care","B08FDJG9B3","https://www.amazon.com/dp/B08FDJG9B3"
"","","17","Ruairie False Eyelashes Natural Look Russian Strip Lashes D Curl Fluffy Wispy Faux Mink Lashes 20 Pairs 4 Styles Volume Curly Fake Eyelashes Pack","Ruairie","$9.99","...","...","...","03/18/2022","$6.27","490","4.3","$3.72","16649","...","B09V4D3GFG","https://www.amazon.com/dp/B09V4D3GFG"
"","","18","Newcally Lashes Natural Wispy False Eyelashes Cat Eye Lashes Hand-Knotted Soft Light Volume Fake Lashes Multipack","Newcally","$9.99","1584","52","$15824","01/09/2020","$6.27","4940","4","$3.72","13077","Beauty & Personal Care","B0823D9VYS","https://www.amazon.com/dp/B0823D9VYS"
"","","19","wiwoseo Eyelashes Natural Faux Mink Lashes Wispy Fluffy Curly 3D Effect Fake Eyelashes 10 Pairs Pack","wiwoseo","$8.99","9517","317","$85558","11/05/2021","$5.35","2821","4.2","$3.64","933","Beauty & Personal Care","B09JNJWTNV","https://www.amazon.com/dp/B09JNJWTNV"
"","","20","False Eyelashes Wispy 18mm Natural 3D Faux Mink Lashes Pack 10 Pairs 10 Styles Mixed Soft Reusable Fake Eyelashes Bulk with Glitter Portable Boxes","Pawotence","$8.99","6014","200","$54066","03/18/2021","$5.35","5305","4.5","$3.64","2024","Beauty & Personal Care","B08Y8QF973","https://www.amazon.com/dp/B08Y8QF973"
"","","21","Ardell False Lashes Faux Mink Wispies Multipack 1 pk x 4 pairs","Ardell","$9.78","5646","188","$55218","10/02/2018","$6.08","4694","4.5","$3.70","3077","Beauty & Personal Care","B07D5PB8HH","https://www.amazon.com/dp/B07D5PB8HH"
"","","22","MAGEFY 30 Pairs 6 Styles Faux Mink Eyelashes 16mm-20mm Lashes Natural Look to Dramatic False Eyelashes Handmade Reusable Fake Eyelashes with Portable Boxes","MAGEFY","$18.39","1276","42","$23466","07/12/2020","$11.86","3950","4.6","$6.53","12081","Beauty & Personal Care","B088F47NXK","https://www.amazon.com/dp/B088F47NXK"
"","","23","False Eyelashes Lashes Pack Wispy Fluffy Natural Mink Eye Lashes Faux Handmade Light Volume 14 Pairs Lashes Pack by zanlufly","zanlufly","$9.58","4998","166","$47881","07/08/2021","$5.89","1396","4.2","$3.69","2941","Beauty & Personal Care","B098J5HSHN","https://www.amazon.com/dp/B098J5HSHN"
"","","24","HBZGTLAD new 5 Pairs 25 mm 3d Mink Lashes Bulk Faux with Custom Natural Mink Lashes Pack Short Wholesales Natural False Eyelashes (9D-03)","HBZGTLAD","$6.98","8890","296","$62052","08/22/2021","$3.5","2209","3.9","$3.48","795","Beauty & Personal Care","B09BQVB9YD","https://www.amazon.com/dp/B09BQVB9YD"
"","","25","Ardell False Eyelashes 3D Faux Mink 854 4 pairs","Ardell","$15.40","1060","35","$16324","07/10/2019","$9.55","1394","4.6","$5.85","15600","Beauty & Personal Care","B07RFNSMBN","https://www.amazon.com/dp/B07RFNSMBN"
"","","26","KISS Lash Couture Naked Drama Collection Multipack Full & Fluffy Volume 3D Faux Mink False Eyelashes Cushion Flexi Band & Split-Tip Technology Reusable Contact Lens Friendly Style Ruffle 4 Pairs","KISS","$12.36","5798","193","$71663","05/27/2022","$7.59","1411","4.5","$4.77","124","Beauty & Personal Care","B08SQ55F44","https://www.amazon.com/dp/B08SQ55F44"
"","","27","Veleasha Lashes 10 Pairs Natural Fluffy False Eyelashes Soft Wispy Lashes 3D Faux Mink Lashes Pack | V07","Veleasha","$8.58","5638","187","$48374","08/19/2020","$4.97","2371","4.5","$3.61","1927","Beauty & Personal Care","B08NFSPSP2","https://www.amazon.com/dp/B08NFSPSP2"
"","","28","Fake Eyelashes Wispy Faux Mink Lashes D Curly Fluffy False Lashes Russian Strip Lashes Pack by Kiromiro","Kiromiro","$9.99","2018","67","$20160","01/16/2022","$6.27","291","4.2","$3.72","9864","Beauty & Personal Care","B09PMLGW14","https://www.amazon.com/dp/B09PMLGW14"
"","","29","Veleasha False Lashes Pack 6D Faux Mink Eyelashes Wispy Lightweight Volume Eye Lashes 10 Pairs Multipack (6D04)","Veleasha","$8.28","5128","170","$42460","08/17/2021","$4.7","2031","4.3","$3.58","2029","Beauty & Personal Care","B09BVFFY54","https://www.amazon.com/dp/B09BVFFY54"
"","","30","3d Fluffy Russian Strip Lashes D Curl Lash Strips Natural False Lashes Mink Fluffy Eyelashes Mink Natural Wispies Mink Eyelashes Wispy Fake Lashes Faux Mink Eyelashes Natural Look(6 Pairs)","royaomis","$7.99","2965","98","$23690","12/13/2021","$4.43","366","4","$3.56","5200","Beauty & Personal Care","B09MQZWVHR","https://www.amazon.com/dp/B09MQZWVHR"
"","","31","JIMIRE Faux Mink Lashes Fluffy Wispy False Eyelashes Luxury Soft Cat-Eye Lashes Pack 8 Pairs","JIMIRE","$7.99","360","12","$2876","03/17/2021","$4.43","655","4.4","$3.56","40444","Beauty & Personal Care","B08YDMK1RH","https://www.amazon.com/dp/B08YDMK1RH"
"","","32","Newcally Lashes False Eyelashes Dramatic 20MM Faux Mink Lashes Pack 14 Pairs Wispy Long Thick Fluffy Strip Eye Lashes Multipack","Newcally","$9.99","6326","210","$63197","06/14/2020","$6.27","15409","4.5","$3.72","1971","Beauty & Personal Care","B0899SLC2B","https://www.amazon.com/dp/B0899SLC2B"
"","","33","Losha False Lashes Super Fluffy Faux Mink Eyelashes Dramatic Long and Full Fake Eyelashes 7 Pairs Pack Volume Lashes","Losha","$8.28","1378","45","$11410","08/06/2021","$4.7","424","4.3","$3.58","13851","Beauty & Personal Care","B098W9TG64","https://www.amazon.com/dp/B098W9TG64"
"","","34","Natural Look Eyelashes 3D Mink Cat Eye Lash Wispies 15mm Fluffy False Lashes 5 Pairs Soft Reusable Eyelashes Lightweight  No Glue","PURELEOR","$7.97","2754","91","$21949","12/14/2020","$4.41","3274","4.2","$3.56","6447","Beauty & Personal Care","B08P4SCHCB","https://www.amazon.com/dp/B08P4SCHCB"
"","","35","SEXYSHEEP False Eyelashes 14 Pairs Faux Mink Lashes Fluffy Fake Eyelashes Dramatic Eyelashes Long Handmade Reusable Lashes No Glue","SEXYSHEEP","$9.99","506","16","$5055","06/11/2021","$6.27","359","4.2","$3.72","25156","Beauty & Personal Care","B094FH2W5M","https://www.amazon.com/dp/B094FH2W5M"
