"Export time: 8/6/2022, 8:45:40 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: glitter","","1","36 Pcs Fine and Chunky Glitter for Resin Audab Fine Glitter Powder Assorted Holographic Resin Glitter Nail Sequins for Hair Makeup Slime Resin Tumblers Resin Molds","Audab","$11.89","1724","57","$20498","12/29/2021","$6.34","222","4.6","$5.55","1622","Arts Crafts & Sewing","B09PG89TQC","https://www.amazon.com/dp/B09PG89TQC"
"Average Sales: 492","","2","Fine Glitter for Resin Set of 32 Colors LEOBRO Extra Fine Resin Glitter Powder Nail Glitter Assorted Craft Glitter for Epoxy Resin Art Body Face Hair Glitter Bulk Glitter Tumbler Candle Making","LEOBRO","$9.99","5081","169","$50759","06/23/2019","$4.72","8986","4.6","$5.27","455","Arts Crafts & Sewing","B07T64ZSD1","https://www.amazon.com/dp/B07T64ZSD1"
"Average Sales Rank: 89,186","","3","Teenitor Fine Glitter 32 Jars 8g Each Glitter Set 32 Assorted Color Arts and Craft Glitter Eyeshadow Makeup Nail Art Pigment Glitter","Teenitor","$8.49","3444","114","$29240","06/18/2019","$4.04","10070","4.7","$4.45","3400","Beauty & Personal Care","B07TB43KSW","https://www.amazon.com/dp/B07TB43KSW"
"Average Price: $11.98","","4","LEOBRO 18 Pack Glitter Resin Glitter Shake Jar Fine Glitter Multi Assorted Set Extra Fine Glitter for Resin Nail Art Crafts Tumbler Scrapbook Jewelry Making 15g/ Bottle Total 270g","LEOBRO","$9.99","1908","63","$19061","08/20/2019","$4.72","1610","4.7","$5.27","1641","Arts Crafts & Sewing","B07MKJ4PCT","https://www.amazon.com/dp/B07MKJ4PCT"
"Average Rating Number: 1,006","","5","Holographic Ultra Fine Glitter 180G/6.35OZ Resin Glitter Powder Sequins Flakes 1/128' Metallic Iridescent Glitter for Resin Tumblers Art Crafts Hair Face Body Nail Glitter LEOBRO Silver Glitter","LEOBRO","$9.99","1648","54","$16464","05/10/2022","$4.72","56","4.9","$5.27","1027","Arts Crafts & Sewing","B0B12JRVTV","https://www.amazon.com/dp/B0B12JRVTV"
"","","6","HTVRONT Holographic Extra Fine Glitter Powder - 50g/1.76oz Silver Glitter for Resin 0.008'Portable Ultra Fine Glitter Powder for Nails Candle Making Crafts Slime Fine Silver Glitter","HTVRONT","$6.99","386","12","$2698","06/03/2022","$2.4","1","5","$4.59","5458","Arts Crafts & Sewing","B09Z2B1LQ7","https://www.amazon.com/dp/B09Z2B1LQ7"
"","","7","Festival Chunky and Fine Glitter Mix Teenitor 32 Colors Chunky Sequins & Fine Glitter Powder Mix Iridescent Glitter Flakes Cosmetic Face Body Eye Hair Nail Art Resin Tumbler Glitter Loose Glitter","Teenitor","$12.99","2524","84","$32787","01/11/2021","$7.27","1794","4.7","$5.72","6966","Beauty & Personal Care","B08SQGNVJB","https://www.amazon.com/dp/B08SQGNVJB"
"","","8","Creative Arts by Charles Leonard Glitter 16 Ounce Bottle Silver (41145)","Charles Leonard","$8.99","772","25","$6940","11/24/2008","$2.5","2239","4.7","$6.49","3049","Arts Crafts & Sewing","B001QOGZNA","https://www.amazon.com/dp/B001QOGZNA"
"","","9","12 Pieces Fine Glitter FANDAMEI 12 Colors 10g Glitter Shake Jar Set Extra Fine Glitter Powder for Arts Crafts Painting Decoration Body Face Makeup Nail Art Pigment","Fandamei","$8.99","396","13","$3560","12/22/2019","$3.87","536","4.7","$5.12","8545","Arts Crafts & Sewing","B0832DMRV1","https://www.amazon.com/dp/B0832DMRV1"
"","","10","Glitter Teenitor Extra fine Glitter Shakers in Shaker Jars Great for Slime Art and Crafts Nail Art Polish Scrapbooking Paints Assorted Color Kit 15g Each Set of 12","Teenitor","$7.99","903","30","$7215","08/20/2019","...","4266","4.7","","5353","Arts Crafts & Sewing","B078H8M7SK","https://www.amazon.com/dp/B078H8M7SK"
