"Export time: 8/7/2022, 6:56:01 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: led lights for bedroom","","1","Tenmiro Led Lights for Bedroom 100ft (2 Rolls of 50ft) Music Sync Color Changing LED Strip Lights with Remote and App Control 5050 RGB LED Strip LED Lights for Room Home Party Decoration","Tenmiro","$19.99","53824","1794","$1075942","04/20/2021","...","40111","4.5","","6","Tools & Home Improvement","B0932M1666","https://www.amazon.com/dp/B0932M1666"
"Average Sales: 2,701","","2","Ksipze 100ft Led Strip Lights (2 Rolls of 50ft) RGB Music Sync Color Changing Led Lights with Smart App Control Remote Led Lights for Bedroom Lighting Flexible Home Decoration (100FT)","KSIPZE","$23.99","23691","789","$568347","04/29/2022","$16.85","7729","4.5","$7.14","55","Tools & Home Improvement","B09V366BDY","https://www.amazon.com/dp/B09V366BDY"
"Average Sales Rank: 59,477","","3","DAYBETTER Led Strip Lights 100ft (2 Rolls of 50ft) Smart Light Strips with App Control Remote 5050 RGB Led Lights for Bedroom Music Sync Color Changing Lights for Room Party","DAYBETTER","$19.99","52261","1742","$1044697","09/23/2020","$11.85","52828","4.6","$8.14","3","Tools & Home Improvement","B08JSQVBDQ","https://www.amazon.com/dp/B08JSQVBDQ"
"Average Price: $23.05","","4","66ft/20M LED Strip Lights KitLED Tape StripsRGB LED Light StripsSync to MusicSmart App Strip LightAPP ControllerLight Strips for RoomRemote LED Lights for Bedroom Home Party","hunhun","$28.49","320","10","$9117","04/25/2020","$19.08","4164","4.6","$9.41","39728","Tools & Home Improvement","B087PMBFCP","https://www.amazon.com/dp/B087PMBFCP"
"Average Rating Number: 5,915","","5","50ft Led Strip Lights Smart Sync Music Led Lights for Bedroom Home Decoration APP Control","Keepsmile","$16.99","25136","837","$427061","01/10/2021","$9.92","14935","4.5","$7.07","85","Tools & Home Improvement","B08SLQYFV2","https://www.amazon.com/dp/B08SLQYFV2"
"","","6","phopollo Led Lights 65.6ft Long Led Strip Lights for Bedroom Color Changing Luces Led para Decoracion Habitacion RGB DIY Color Option with Power Supply and Remote","phopollo","$19.99","7945","264","$158821","06/21/2020","$11.85","23366","4.6","$8.14","652","Tools & Home Improvement","B08CD9MKLZ","https://www.amazon.com/dp/B08CD9MKLZ"
"","","7","50ft LED Lights for Bedroom FONEWE Music Sync LED Light Strips Color Changing Lights for Bedroom LED Strip Lights with APP and Remote Control","FONEWE","$14.95","3627","120","$54224","05/05/2021","$8.94","1618","4.5","$6.01","1050","Tools & Home Improvement","B0948Y346D","https://www.amazon.com/dp/B0948Y346D"
"","","8","LED Strip Lights 65ft Smart Rope Light Strips with 44-Key Remote RGB 5050 Color Changing Music Sync Led Strip Phone App Control Led Lights for Bedroom Living Room Home Christmas Party Decoration","Zavjyet","$14.99","14095","469","$211284","08/11/2021","$8.97","2238","4.3","$6.02","130","Tools & Home Improvement","B09CFRFSMJ","https://www.amazon.com/dp/B09CFRFSMJ"
"","","9","Keepsmile 100ft Led Strip Lights (2 Rolls of 50ft) Bluetooth Smart App Music Sync RGB 5050 Color Changing Led Light Strip with DIY RemoteLed Lights for Bedroom Room Home Decor Party and Festival","Keepsmile","$23.99","25675","855","$615943","05/25/2022","...","14935","4.5","","85","Tools & Home Improvement","B0B2D52FLK","https://www.amazon.com/dp/B0B2D52FLK"
"","","10","50Ft LED Strip Lights Music Sync Color Changing RGB LED Strip 44-Key Remote Sensitive Built-in Mic App Controlled LED Lights Rope Lights 5050 RGB LED Light Strip(APP+Remote+Mic+3 Button Switch)","Nexillumi","$14.43","15048","501","$217143","09/07/2019","$7.13","25899","4.6","$7.30","555","Tools & Home Improvement","B07Z4ZRNPP","https://www.amazon.com/dp/B07Z4ZRNPP"
