"Export time: 8/6/2022, 7:36:41 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: makeup applicators","","1","Eyeshadow Applicators MORGLES 50pcs Eyeshadow Applicator Double Sided Eye Makeup Applicators Short Sponge Eyeshadow Applicator for Women Girls (Black)","MORGLES","$5.99","4641","154","$27800","08/25/2019","$2.59","5921","4.5","$3.40","2548","Beauty & Personal Care","B07T481RY9","https://www.amazon.com/dp/B07T481RY9"
"Average Sales: 1,106","","2","Cuttte 120PCS Disposable Dual Sides Eye Shadow Sponge Applicators with Container 4 Colors Eyeshadow Brushes Makeup Applicator","Cuttte","$6.29","1579","52","$9932","01/07/2019","$2.25","6009","4.6","$4.04","10504","Beauty & Personal Care","B07L6FQQVS","https://www.amazon.com/dp/B07L6FQQVS"
"Average Sales Rank: 101,936","","3","Artist's Choice Makeup Sponge Mini Applicator Wedges For Foundation Blush Eye Shadow Crisp Edges for Control Effortless Blending and Smoothing Sanitary Single-Use Option Latex Free Pack of 100","Artist's Choice","$9.99","918","30","$9171","02/10/2013","$5.42","4999","4.6","$4.57","1469","Beauty & Personal Care","B00FBRNONW","https://www.amazon.com/dp/B00FBRNONW"
"Average Price: $8.70","","4","500PCS Lip Wands Applicators Disposable - Vaincre Lip Brush Lipstick Brush Lip Gloss Applicator Wands Makeup Applicator Beauty Tool Kits Black","Vaincre","$8.99","...","...","...","06/18/2022","$4.5","29","4.7","$4.49","6393","...","B0B1Q9KY95","https://www.amazon.com/dp/B0B1Q9KY95"
"Average Rating Number: 1,777","","5","200 Disposable Lip Brushes Make Up Brush Lipstick Lip Gloss Wands Applicator Tool Makeup Beauty Tool Kits","GoWorth","$6.99","5754","191","$40220","02/17/2017","$3.51","9478","4.8","$3.48","2669","Beauty & Personal Care","B01NAV6TFT","https://www.amazon.com/dp/B01NAV6TFT"
"","","6","Cuttte 120PCS Disposable Dual Sides Eye Shadow Sponge Applicators with Container 2.44' Length Eyeshadow Brushes Makeup Applicator","Cuttte","$6.59","1894","63","$12481","04/29/2019","$2.52","2624","4.6","$4.07","7355","Beauty & Personal Care","B07NY6QCFL","https://www.amazon.com/dp/B07NY6QCFL"
"","","7","Fran Wilson EYE TEES COTTON TIPS 80 Count (3 PACK) - Precision Makeup Applicator Double-sided Swabs with Pointed and Rounded Ends for Perfect Blending Effective Cleaning and Precise Touch-ups","Fran Wilson","$11.10","108","3","$1199","10/19/2013","$5.67","850","4.8","$5.43","21950","Beauty & Personal Care","B00BSE3IJW","https://www.amazon.com/dp/B00BSE3IJW"
"","","8","263 Pieces Makeup Applicators Tools Kit Include 50 Disposable Eyeliner Brushes 112 Mascara Wands Eyelash Brush 100 Lipstick Applicators Lip Wands with Plastic Organizer Box","Maitys","$13.40","548","18","$7343","01/17/2021","$7.62","680","4.8","$5.78","34362","Beauty & Personal Care","B08RB3C7HV","https://www.amazon.com/dp/B08RB3C7HV"
"","","9","Disposable Makeup Applicators Kit Shynek Makeup Mixing Palette with Spatula and Disposable Makeup Brushes Tools Mascara Wands Lip Goss Applicators Makeup Hair Clips with Organizer Box","shynek","$14.99","1058","35","$15859","10/09/2020","$8.22","565","4.8","$6.77","14993","Beauty & Personal Care","B095JQZZ7Q","https://www.amazon.com/dp/B095JQZZ7Q"
"","","10","ZYIGYI 200 PCS Disposable Eyeshadow Brushes Sponge Makeup Applicators Dual Sides","ZYIGYI","$5.79","186","6","$1077","11/02/2021","$1.79","152","4.5","$4.00","47852","Beauty & Personal Care","B09FY9KX1Y","https://www.amazon.com/dp/B09FY9KX1Y"
"","","11","10 Pieces Powder Puff for Face Powder Sponge Makeup Puffs for Powder Velour Puff for Loose Powder Pure Cotton Powder Applicator with Ribbon for Foundation","AMMON","$5.49","...","...","...","07/11/2022","$1.51","4","5","$3.98","37805","...","B0B2P6DK6C","https://www.amazon.com/dp/B0B2P6DK6C"
