"Export time: 8/6/2022, 7:23:19 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: makeup sponge","","1","Real Techniques Miracle Complexion Sponge Beauty Sponge For Makeup Blending & Foundation Application Full Coverage Streak-Free Professional Makeup Tool Cruelty Free Vegan Latex Free 2 Count","Real Techniques","$4.91","8490","823","$41686","03/09/2015","$0.98","21286","4.7","$3.93","112","Beauty & Personal Care","B00QPNVC0I","https://www.amazon.com/Real-Techniques-Complexion-Revolutionary-Technology/dp/B00QPNVC0I/ref=sr_1_5?crid=27OBCENVX7F0Q&keywords=makeup+sponge&qid=1659838233&sprefix=makeup+spo%2Caps%2C160&sr=8-5"
"Average Sales: 1,866","","2","BEAKEY 5 Pcs Makeup Sponge Set Foundation Blending Beauty Sponge Flawless for Liquid Cream and Powder Multi-colored Makeup Sponges","BEAKEY","$9.99","24405","725","$243806","09/18/2018","$5.65","79554","4.7","$4.34","162","Beauty & Personal Care","B01F36JEXE","https://www.amazon.com/BEAKEY-Foundation-Blending-Flawless-Multi-colored/dp/B01F36JEXE/ref=sr_1_6?crid=27OBCENVX7F0Q&keywords=makeup+sponge&qid=1659838233&sprefix=makeup+spo%2Caps%2C160&sr=8-6"
"Average Sales Rank: 91,464","","3","ForPro Beauty Wedges Latex Free Foam Sponges Makeup Blenders for Powder and Liquid Makeup 100-Count","ForPro Professional Collection","$11.99","3523","138","$42241","12/13/2003","$6.65","505","4.7","$5.34","3555","Beauty & Personal Care","B00011JTI2","https://www.amazon.com/ForPro-Beauty-Wedges-75-inches-100-Count/dp/B00011JTI2/ref=sr_1_7?crid=27OBCENVX7F0Q&keywords=makeup+sponge&qid=1659838233&sprefix=makeup+spo%2Caps%2C160&sr=8-7"
"Average Price: $8.90","","4","50-Count Compressed Facial Sponges GAINWELL Cellulose Facial Sponges 100% Natural Cosmetic Spa Sponges for Facial Cleansing Exfoliating Mask Makeup Removal","GAINWELL","$9.98","16316","496","$162834","01/15/2020","$5.64","14340","4.7","$4.34","416","Beauty & Personal Care","B081JPR7LK","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_3?ie=UTF8&bwType=search&bwAsin=B081JPR7LK&url=%2FCompressed-GAINWELL-Cellulose-Cleansing-Exfoliating%2Fdp%2FB081JPR7LK%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB081JPR7LK%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-3-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"Average Rating Number: 2,536","","5","Swisspers Premium Cosmetic Wedges Latex-Free Makeup Wedge 32 per Package 6 Packs (Total Count 192)","Swisspers","$14.91","4156","106","$61966","01/09/2013","$8.9","6630","4.3","$6.01","4976","Beauty & Personal Care","B003X1BMF0","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_4?ie=UTF8&bwType=search&bwAsin=B003X1BMF0&url=%2FSwisspers-Premium-Cosmetic-Latex-Free-Package%2Fdp%2FB003X1BMF0%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB003X1BMF0%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-4-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"","","6","Artist's Choice Makeup Sponge Mini Applicator Wedges For Foundation Blush Eye Shadow Crisp Edges for Control Effortless Blending and Smoothing Sanitary Single-Use Option Latex Free Pack of 250","Artist's Choice","$21.99","7326","254","$161099","02/10/2013","$13.55","4999","4.6","$8.44","1469","Beauty & Personal Care","B00FBRNHGG","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_5?ie=UTF8&bwType=search&bwAsin=B00FBRNHGG&url=%2FArtists-Choice-Makeup-Sponge-Applicator%2Fdp%2FB00FBRNHGG%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB00FBRNHGG%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-5-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"","","7","Facial Sponge Compressed60 Pcs PVA Professional Makeup Removal Wash Round Face Sponges Spa Pads Exfoliating Cleansing for WomenBlue","Tegelrying","$11.99","480","14","$5755","05/20/2019","$6.42","2058","4.6","$5.57","33362","Beauty & Personal Care","B07ZXYTS4Q","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_6?ie=UTF8&bwType=search&bwAsin=B07ZXYTS4Q&url=%2FCompressed-Professional-Removal-Exfoliating-Cleansing%2Fdp%2FB07ZXYTS4Q%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB07ZXYTS4Q%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-6-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"","","8","GAINWELL 50-Piece Compressed Natural Facial Sponges with Storage Container","GAINWELL","$13.59","1646","41","$22369","09/22/2020","$8.01","1409","4.7","$5.58","13486","Beauty & Personal Care","B08D37134W","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_7?ie=UTF8&bwType=search&bwAsin=B08D37134W&url=%2FGAINWELL-50-Piece-Compressed-Natural-Container%2Fdp%2FB08D37134W%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB08D37134W%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-7-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"","","9","Honest Beauty Gentle Konjac Sponge with Pink Kaolin Clay |Soft Exfoliating Facial Sponge |Buff & Soften Skin | 1 count","Honest Beauty","$7.99","934","31","$7463","05/10/2019","$3.81","1191","4.4","$4.18","17637","Beauty & Personal Care","B07FC88KMN","https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_8?ie=UTF8&bwType=search&bwAsin=B07FC88KMN&url=%2FHonest-Beauty-Gentle-Konjac-Sponge%2Fdp%2FB07FC88KMN%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%253Aamzn1.sym.885d0acc-6d5d-4697-a737-053cf8c632ba%26crid%3D27OBCENVX7F0Q%26cv_ct_cx%3Dmakeup%2Bsponge%26keywords%3Dmakeup%2Bsponge%26pd_rd_i%3DB07FC88KMN%26pd_rd_r%3D6d7890e0-ccf1-466a-b0b2-daeb3903d9a5%26pd_rd_w%3DgPSXK%26pd_rd_wg%3DZJUfb%26pf_rd_p%3D885d0acc-6d5d-4697-a737-053cf8c632ba%26pf_rd_r%3DG23QD0RAJPA6EJBPWRZY%26qid%3D1659838233%26rdc%3D1%26sprefix%3Dmakeup%2Bspo%252Caps%252C160%26sr%3D1-8-f4026a99-83ea-4b2c-a8b0-d0bb1d501090-spons%26psc%3D1&qualifier=1659838233&id=7217200969929971&widgetName=sp_search_thematic"
"","","10","Makeup Sponges Foonbe Foundation Blending Beauty Sponge Dry & Wet Use for Powder Cream or Liquid Application (3 Pcs Multi-colored )","Foonbe","$4.59","8341","195","$38285","04/08/2021","$0.68","4970","4.7","$3.91","2213","Beauty & Personal Care","B08X6BQNXP","https://www.amazon.com/Foonbe-Foundation-Blending-Application-Multi-colored/dp/B08X6BQNXP/ref=sr_1_8?crid=27OBCENVX7F0Q&keywords=makeup+sponge&qid=1659838233&sprefix=makeup+spo%2Caps%2C160&sr=8-8"
