"Export time: 8/6/2022, 8:14:58 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: vegan lipstick","","1","Melixir Vegan Lip Butter 02 Nude Crumble(Tinted) (+17 more colors) 0.13oz Bee Free Petrolatum Free Deep Nourishing Plant-Based Vegan Chapstick Vegan Lip Balm for Dry Cracked and Chapped Lips Moisturizing Lip Care Gift","Melixir","$10.20","7363","245","$75103","02/23/2020","$5.13","6485","4.4","$5.07","1418","Beauty & Personal Care","B08XXGZNXP","https://www.amazon.com/dp/B08XXGZNXP"
"Average Sales: 1,211","","2","Honest Beauty Liquid Lipstick Forever with Avocado oil + Hyaluronic Acid |Lasting Hydration | EWG Certified + Dermatologist tested & Vegan + Cruelty free | 0.12 fl. oz.","Honest Beauty","$5.49","3564","118","$19566","07/17/2019","$2.13","1929","4","$3.36","6861","Beauty & Personal Care","B07TZNRJW3","https://www.amazon.com/dp/B07TZNRJW3"
"Average Sales Rank: 219,391","","3","Matte Vegan Lipstick with Creamy Satin Finish Burnt Sienna with a Rosy Orange Twist and Brownish Color -CRUSH ON YOU (302-Close to You) by Ready to Shine","READY TO SHINE","$21.00","816","27","$17136","12/13/2019","$14.31","965","4.1","$6.69","9798","Beauty & Personal Care","B07XT1BNVH","https://www.amazon.com/dp/B07XT1BNVH"
"Average Price: $15.29","","4","Revolution Pro New Neutrals Blushed Satin Matte Lipstick Intensely Pigmented & Long-Lasting Lip Makeup Vegan & Cruelty-Free Cashmere 3.2g","Makeup Revolution","$8.00","...","...","...","03/29/2022","$3.82","27","4.2","$4.18","105448","...","B09P8TBN22","https://www.amazon.com/dp/B09P8TBN22"
"Average Rating Number: 2,159","","5","Rachel Couture Matte Lipstick with High Impact Color &| Vegan & Cruelty Free | Infused with Rose Extract - 0.12 Oz - Nude","Rachel Couture","$10.00","...","...","...","05/08/2022","...","25","4.5","","191721","...","B09V8GBV37","https://www.amazon.com/dp/B09V8GBV37"
"","","6","Nude Envie Lipstick - Certified Vegan Lipstick Paraben Cruelty Paraben Free - Enriched with Vitamin E and Jojoba Oil (Mesmerize)","nude envie","$30.00","115","3","$3450","05/14/2020","...","73","4.2","","51042","Beauty & Personal Care","B088BNX5G6","https://www.amazon.com/dp/B088BNX5G6"
"","","7","Gabriel Cosmetics Lipstick (Nude - Light Flesh Tone/Cool Crme) Natural Paraben Free Vegan Gluten-freeCruelty-free Non GMO High performance and long lasting Infused with Jojoba Seed Oil and Aloe .13 oz.","Gabriel Cosmetics","$17.60","107","3","$1883","10/27/2006","$11.42","903","4.3","$6.18","16099","Beauty & Personal Care","B00028OULU","https://www.amazon.com/dp/B00028OULU"
"","","8","Pacifica Beauty Color Quench Natural Lip Tint Guava Berry Vegan & Cruelty Free 0.15 Oz","Pacifica","$5.00","3330","111","$16650","07/09/2015","$1.06","6075","4.4","$3.94","5321","Beauty & Personal Care","B00DLNTV8A","https://www.amazon.com/dp/B00DLNTV8A"
"","","9","ILIA - Color Block Lipstick | Non-Toxic Vegan Cruelty-Free Clean Makeup (Rosewood (Soft Oxblood))","ILIA","$28.00","408","13","$11424","11/21/2019","$20.26","348","4.5","$7.74","29525","Beauty & Personal Care","B07NQL35VN","https://www.amazon.com/dp/B07NQL35VN"
"","","10","HAUS LABORATORIES By Lady Gaga: SPARKLE LIPSTICK | Red Long Lasting Universal Lipstick Full-Coverage Lip Color Vegan & Cruelty-Free | 0.12 Oz","HAUS LABORATORIES","$9.42","794","26","$7479","11/19/2019","$5.75","2335","4.6","$3.67","27061","Beauty & Personal Care","B07YHL83HW","https://www.amazon.com/dp/B07YHL83HW"
